Agency Number,Agency Name,Account - Major Class,Account Description - Major Class,Account - Sub-Class,Account Description - Sub-Class,Account,Account Description,Fiscal Year,Accounting Period,Amount
0,STATE OF OKLAHOMA,400400,Appropriations,631100,APPROPRIATED TRANSFERS IN,631100,APPROPRIATED TRANSFERS IN,2011,12,$-28404182.91
0,STATE OF OKLAHOMA,400500,Federal Grants,455100,FEDERAL GRANTS-IN-AID         ,455101,FEDERAL GRANTS-IN-AID,2011,2,$-2621.35
0,STATE OF OKLAHOMA,400500,Federal Grants,455100,FEDERAL GRANTS-IN-AID         ,455101,FEDERAL GRANTS-IN-AID,2011,3,$-2743.00
0,STATE OF OKLAHOMA,400500,Federal Grants,455100,FEDERAL GRANTS-IN-AID         ,455101,FEDERAL GRANTS-IN-AID,2011,5,$-1094.00
0,STATE OF OKLAHOMA,400500,Federal Grants,455100,FEDERAL GRANTS-IN-AID         ,455101,FEDERAL GRANTS-IN-AID,2011,6,$0.00
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,1,$-10787374.71
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,2,$-38498360.14
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,3,$-46467409.78
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,4,$-1448404.23
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,5,$-14984263.38
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,6,$7282410.45
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,7,$-23573060.31
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,8,$-3363908.77
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,10,$-44024027.46
0,STATE OF OKLAHOMA,400500,Federal Grants,455700,ARRA FUNDS,455702,ARRA FEDERAL REIMBURSEMENTS,2011,12,$-21489153.94
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,1,$-65000.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,2,$-66250.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,3,$-67005.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,4,$-64745.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,5,$-67995.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,6,$-58255.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,7,$-56750.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,10,$-81255.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420101,LICENSES/PERMITS/FEES-GENERAL,2011,12,$-67250.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,1,$-339536.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,2,$-296945.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,3,$-279970.50
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,4,$-289508.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,5,$-276020.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,6,$-256805.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,7,$-230038.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,10,$-331088.50
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420121,ALCOHOLIC BEVERAGE LICENSE,2011,12,$-302398.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,1,$-300.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,2,$-300.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,3,$-550.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,4,$-2100.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,5,$-500.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,6,$-940.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,7,$-300.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,10,$-300.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420123,ALCOHOLIC BOTTLE CLUB MEMBER,2011,12,$-300.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,1,$-37175.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,2,$-9825.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,3,$-17181.25
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,4,$-12232.75
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,5,$-6303.75
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,6,$-11231.25
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,7,$-10362.50
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,10,$-2531.25
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420125,ALCOHOL BRAND FEES,2011,12,$-797906.25
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,1,$-91294.35
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,2,$-26387.36
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,3,$-64974.27
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,4,$-76129.75
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,5,$-103098.44
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,6,$-41874.35
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,7,$-56532.09
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,8,$-50425.91
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,10,$-70675.97
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420156,BEVERAGE LICENSES,2011,12,$-60103.07
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,1,$-6655.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,2,$-14350.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,3,$-1505.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,4,$-2150.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,5,$-1595.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,6,$-3170.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,7,$-10255.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,10,$-2120.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,420100,ALCOHOLIC BEVERAGE/BEVERAGE   ,420166,BINGO LICENSE,2011,12,$-1480.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,1,$-114950.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,2,$51420.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,3,$-103420.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,4,$-129350.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,5,$-99720.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,6,$-73610.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,7,$-4892970.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,8,$-57900.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,10,$-124500.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421381,SECURITIES AGENTS FEES,2011,12,$-120350.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421382,SECURITIES DEALERS FEES,2011,2,$1034100.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,1,$-374850.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,2,$-1037100.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,3,$-569450.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,4,$-306950.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,5,$-1614850.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,6,$-467600.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,7,$-390950.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,8,$-165550.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,10,$-1412750.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421384,SECURITIES ISSUER FEES,2011,12,$-485100.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421386,"FINES,CIVPENLTY,INVST&ADM COST",2011,5,$-15000.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421386,"FINES,CIVPENLTY,INVST&ADM COST",2011,6,$0.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,421300,DEPARTMENT OF SECURITIES      ,421386,"FINES,CIVPENLTY,INVST&ADM COST",2011,10,$-1500.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422100,HEALTH DEPARTMENT             ,422158,MECHANICAL CONTRACTOR LICENSE,2011,1,$-31070.50
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422100,HEALTH DEPARTMENT             ,422158,MECHANICAL CONTRACTOR LICENSE,2011,3,$-61388.68
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422100,HEALTH DEPARTMENT             ,422158,MECHANICAL CONTRACTOR LICENSE,2011,4,$-26336.23
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422100,HEALTH DEPARTMENT             ,422158,MECHANICAL CONTRACTOR LICENSE,2011,6,$-30438.80
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422100,HEALTH DEPARTMENT             ,422158,MECHANICAL CONTRACTOR LICENSE,2011,7,$-54902.54
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422100,HEALTH DEPARTMENT             ,422158,MECHANICAL CONTRACTOR LICENSE,2011,10,$-36942.74
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422100,HEALTH DEPARTMENT             ,422158,MECHANICAL CONTRACTOR LICENSE,2011,12,$-29291.50
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422500,BANKING COMMISSION            ,422521,ANNUAL ASSESSMENT STATE BANK,2011,7,$-183413.28
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422500,BANKING COMMISSION            ,422521,ANNUAL ASSESSMENT STATE BANK,2011,8,$-400347.03
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422500,BANKING COMMISSION            ,422525,CREDIT UNION/SAV & LOAN FEE,2011,7,$-55246.88
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,422500,BANKING COMMISSION            ,422525,CREDIT UNION/SAV & LOAN FEE,2011,8,$-11097.89
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,1,$-31050.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,3,$-21080.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,4,$-27082.50
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,5,$-28045.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,6,$-24300.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,7,$-34855.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,10,$-51620.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423212,DOMESTIC FOR-PROFIT BUS. CORP,2011,12,$-52151.67
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423213,DOMESTIC LIMITED LIABILITY CO.,2011,10,$0.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423213,DOMESTIC LIMITED LIABILITY CO.,2011,12,$-345275.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,1,$-14875.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,3,$-20680.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,4,$-9800.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,5,$-17575.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,6,$-13425.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,7,$-19900.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,10,$-25500.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423214,DOMESTIC LIMITED PARTNERSHIP,2011,12,$-38775.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423216,OTHER DOMESTIC FILING,2011,1,$-16385.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423216,OTHER DOMESTIC FILING,2011,3,$-22906.80
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423216,OTHER DOMESTIC FILING,2011,4,$-15905.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423216,OTHER DOMESTIC FILING,2011,5,$-16322.00
0,STATE OF OKLAHOMA,400600,Lic/Permits/Tuition/Fees/Oth,423200,SECRETARY OF STATE            ,423216,OTHER DOMESTIC FILING,2011,6,$-15295.00
