OBJECTID,PARKNAME,ORDINANCENUMBER,TYPEOFEASEMENT,RECORDINGNUMBER,SUB_PARCEL,ACQ_DATE,PIN,SE_ANNO_CAD_DATA,GLOBALID,GIS_CRT,GIS_CRT_DT,GIS_EDT,GIS_EDT_DT,SDQL,SHAPE_Length,SHAPE_Area
23,Thornton Creek NA: Maple Creek,,Conservation,,21474.0,1997/12/04 08:00:00+00,5210200486.0,,{C774FEEF-148F-4FA7-A7EB-0E8DAF9DAF30},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,459.634459438064,12599.4530762129
24,Me-Kwa-Mooks Natural Area,,Storm Drain,,,,,,{849AE2EE-96D5-4C19-8937-66BAB41083A7},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,460.498126440015,1990.11678769942
25,Discovery Park,122488.0,Seawall,20071119000285.0,16874.0,,,,{A8B2E900-07EF-4821-9A29-89C50DAF3937},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,478.732877750945,11550.3105075707
26,St. Marks Greenbelt,,Conservation,9612181365.0,9659.0,1996/10/28 08:00:00+00,6762707777.0,,{A73CB14C-322B-494B-A432-9DEF67DB8F12},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1603.99462373436,102630.24159024
27,Duwamish Head Greenbelt,,Access,20010613000896.0,15946.0,,,,{122D52BC-83DA-4DF0-984A-FE6FA68B9CB2},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,338.817322592774,1802.23833462977
28,Discovery Park,,Utility,,,,,,{233AF715-5F4F-431E-AC4D-DC7DAD4BFCB0},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,8051.98592026561,148747.052617524
29,Fauntleroy Park,,Access,,,,,,{640FE7E3-41B7-4D28-B2E0-B633ECC95D90},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,620.251747082588,3573.3153686732
30,Thornton Creek NA: Maple Creek,,Conservation,,9914.0,1997/05/14 06:59:59+00,5210200298.0,,{110D0262-7AF0-430E-B19B-55814CC812AD},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,508.696229309037,8830.35659472269
31,Me-Kwa-Mooks Natural Area,,Conservation,,16396.0,2004/03/31 08:00:00+00,7936000090.0,,{B3A8340D-3481-44CC-9348-5C1CEC84C3DF},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,460.00984388501,11200.2533727076
32,Thornton Creek NA: Maple Creek,,Conservation,,9752.0,1993/12/29 08:00:00+00,5071400006.0,,{6D7DAA70-7040-43EC-83D9-6DD0D4DD14C9},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,786.579094875952,34069.1381793744
33,Thornton Creek NA: Maple Creek,,Conservation,,3944.0,1993/12/29 08:00:00+00,5071400160.0,,{10587DA3-2B90-4633-B493-85CD2524D908},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,817.747605100068,34369.8372569365
34,Matthews Beach Park,,Access,,,,,,{19B0F8C2-1ED5-49F4-945C-9574DA173977},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,900.005449747851,20129.2979408674
35,Hillman P-Patch,,Conservation,,16803.0,2006/06/29 06:59:59+00,3331500510.0,,{F56B7142-549A-45D4-A756-EC573F5B7F86},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,265.506312406074,3082.5490047192
36,Me-Kwa-Mooks Natural Area,,Retaining Wall,20031031002437.0,,,,,{7E2D1B68-A5DE-4464-AAAB-72A44B85C77E},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,60.0025726536991,203.63956879658
37,Discovery Park,,Access,,,,,,{AF717C92-59CE-4C90-8DE5-2B13BF3DFF81},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,13494.1079436545,1782266.41704991
38,South Bradford Street,121374.0,Sewer,9611140729.0,,,,,{E000A4D6-2B7B-4AC9-9326-59348B9FEDD5},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,81.3765147342266,149.099103307228
39,Warren G. Magnuson Park,,Access,,,,,,{3770D8A4-C7E1-4E7F-A8A0-F9C847450573},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,2326.90480167259,94790.4060249782
40,Thornton Creek NA: Maple Creek,,Conservation,,9912.0,1997/05/14 06:59:59+00,5210200330.0,,{E3E55700-7BE1-4FFC-8D1A-39D83C26A6CB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,737.148371370286,24948.3617231449
41,Fauntleroy Park,,Access,,,,,,{6799B423-00CB-4A81-A80E-9E94622506F1},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,177.218113270769,640.706472646103
42,Thornton Creek NA: Maple Creek,,Conservation,,9922.0,1997/06/05 06:59:59+00,5210200155.0,,{2DBF578A-995B-4ACE-B5DE-753C288B43E9},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,350.005093509091,7235.77029181823
43,St. Marks Greenbelt,,Conservation,9612181365.0,9659.0,1996/10/28 08:00:00+00,6762700920.0,,{ABCFA534-D8CB-4537-9898-1B4AF9E0E915},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,697.457653933624,28313.1697838905
44,St. Marks Greenbelt,,Conservation,9708261293.0,9552.0,1997/08/26 06:59:59+00,2025049051.0,,{ECAE4635-512F-427E-A257-1F10F3A5F967},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,834.144716587294,30415.9955881799
45,St. Marks Greenbelt,,Conservation,9708261293.0,9552.0,1997/08/26 06:59:59+00,2025049052.0,,{0BF7665A-A4CC-47CA-A3F7-7620D01EE7AB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,544.893569153165,15088.2292778637
46,Me-Kwa-Mooks Natural Area,,Driveway and Utilities,20031028900013.0,,,,,{1D361CE9-FDA8-47D0-9757-10E097060625},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,157.554899911468,793.904540020511
47,Thornton Creek NA: Maple Creek,,Conservation,,9918.0,1997/05/14 06:59:59+00,5116400040.0,,{07239D14-9B25-47CE-A856-BB92447B5E28},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,461.843531148082,10607.3772102434
48,Pinehurst Pocket Park,121236.0,Water,20040628002358.0,16426.0,,,,{CCC4932A-52F2-4CCB-BEE8-20CBD39DE6CE},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,155.10907892378,681.395869141421
49,Me-Kwa-Mooks Natural Area,,Conservation,,16396.0,2004/03/31 08:00:00+00,5154200090.0,,{8769B128-E285-4765-9EEC-2B899EED0F9B},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,619.671881330343,22598.7861038909
50,Me-Kwa-Mooks Natural Area,,View,4659767.0,,,,,{6906F7BE-483A-4E3E-979A-7001C93257DE},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1081.55128001624,41417.6042953837
51,Victor Steinbrueck Park,,Access,8004150133.0,,,,,{859CD33C-8BDD-44CB-AD7E-4CEC12BABB82},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,744.02892538371,19882.0973959398
52,S.W. Community Center and Pool,121484.0,No structures,,16414.0,,,,{DEE2D187-98D0-4FE9-8B79-51EED681F38F},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1116.45113548814,15741.9034066047
53,Fauntleroy Park,,Retaining Wall,,,,,,{CCE54CA9-6BF3-4EAD-9CF7-8B1593153939},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,319.26011017291,6338.55708958593
54,Thornton Creek NA: Maple Creek,,Conservation,,9913.0,1997/06/05 06:59:59+00,5210200299.0,,{F11DDA01-0657-4622-87CE-3D222C83004D},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,418.63700740088,10943.1495260463
55,Discovery Park,,Sewer,,,,,,{8ACF151D-F232-47AE-B3FE-25FCDD73B120},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,213.615014341657,1703.25349477996
321,Waldo Woods,123248.0,Conservation,20100513000875.0,22135.0,2010/05/13 06:59:59+00,5100400245.0,,{4C131BC4-93E4-4AC5-B168-A8E197D06EF3},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,514.270540029232,14854.7501497262
642,Carkeek Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{2A354495-2D8C-42FC-8053-BA1B11E8BE0A},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,171.047542473186,567.656450111066
643,Carkeek Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{B7815502-AA92-4092-88F2-7D3290C5BB7D},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1323.75062331589,9494.43745860904
644,Carkeek Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{5A5B48FF-085A-461D-BE06-E0929BA9B585},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,2760.4043361099,19814.9226297451
645,Carkeek Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{DF440ACA-AC89-411A-805D-AE956F99514B},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,2363.60458065244,20076.3042988011
646,Washington Park and Arboretum,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{EDF8A77D-E098-4DB6-8872-999AB41074F8},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,4296.81869281416,32249.0524625451
647,Washington Park and Arboretum,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{91963A8B-4C59-4259-A77D-023BA87AE96D},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,264.41896451812,1413.59406609474
648,Washington Park and Arboretum,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{962A902F-4E0C-4A35-A73C-5AA5B11E3643},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,5701.9625223156,39198.3011105359
649,Washington Park and Arboretum,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{A828B967-E288-416B-9F83-7D034EB300DC},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1232.76287129857,11964.7147604527
650,Burke-Gilman Trail,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{1BA63521-721F-4A31-8EBB-1904ABF9D33E},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,178.037976067551,634.875976282791
651,Discovery Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{BA1C6B0D-C55B-471F-939F-F9ED085848FB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,6065.40421472962,59882.9103684104
652,Jackson Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{B63E6794-5FB9-4F1F-85C8-BD15E3D434EB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1839.37097436119,9349.13905137421
653,Jackson Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{9D0EC886-0C5F-4447-B4EA-48C2A9E9BCE2},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,7364.54135379638,33168.427291304
654,Viretta Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{59619365-302A-4E12-A62B-B16D00216745},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,910.630460659169,3813.00740465121
655,Viretta Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{99D07EED-15DB-4B1A-9D63-47767B121FFD},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,208.779437552508,962.623415791505
656,Viretta Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{1C16A58A-0D15-4311-9CE1-42DC9C03EAFB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,207.093176743154,922.869346929934
657,Alki Beach Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{50CAB4C1-F01B-469C-A8E7-03B48B505A54},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1140.41400913233,9240.56884420862
658,Belvoir Place,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{95D9FAB0-C0DC-49A2-AE3F-D712EB8B6E79},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,164.708318854849,644.048476606432
659,Cheasty Boulevard,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{5153FDA9-26C8-47C8-A7B3-23A2CDD45DFE},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,293.662197399685,2411.42913895492
660,Emma Schmitz Memorial Overlook,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{9739185D-6DEC-4FA1-9414-00DC6F681C0A},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1615.16523273752,12945.6311014691
661,Lincoln Park,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{860CE109-F8DB-4CDC-AB35-FC35D61F0CCB},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,10097.1523765212,79594.5229473013
662,Lake Washington Boulevard,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{C00E6FD2-FF73-48E4-9FE2-6108C0F5244A},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,125.268396752336,637.151986791789
663,Charles Richey SR Viewpoint,123423.0,KC Sewer,,,2010/10/13 06:59:59+00,,,{6897D83E-AC3C-4E86-A5FC-4491B0913499},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,215.831539509152,1500.66661173419
664,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{06B9240B-FB9A-4A45-BB4D-A787B5BEAC1F},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,316.147341603465,2690.89531035227
665,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{1DA95FAE-0E1C-40E8-B7B2-5D2C50AE4B57},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,471.82528063635,3850.60851753684
666,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{303C7C2B-C111-4954-944E-AB29ECB4B7D0},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,279.689104809475,1859.94007110148
667,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{08A02F14-0B10-4530-BB5F-60C528832784},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,294.781197853982,1941.79347164367
668,LaVilla Meadows Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{74FEF796-BB0B-4679-AA77-92327514BE53},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,1355.16278018125,11115.4388721481
669,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{96E9B4F8-66BB-413A-98DB-ED594E2292CD},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,677.283957011839,4779.83794439026
670,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{5D7E89A7-BF5C-4985-ACD1-C0156E2B2FA6},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,150.238395696262,811.783155781795
671,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{5AD226C7-9817-4300-9605-85433A8F91EC},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,431.853954229434,3342.48322832893
672,Kingfisher Natural Area on Thornton Creek,,KC Sewer,7512230627.0,,1975/12/23 07:59:59+00,,,{A851079A-5569-419E-9308-3E7C3BB86328},SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,SeattleParks_SeattleCityGIS,2023/08/08 18:43:50+00,QL-D3,814.295055266054,6352.84603656722
