OBJECTID,GNLCCCODE,NORWEST,PATCH_ID,MEANTEMPC,SLOPE,LENGTH_KM,CT_0BRK,CT_25BRK,CT_50BRK,CT_75BRK,CT_100BRK,NHDVERSION,SHAPELEN
318246,CW_187,Clearwater,187,10.6,10.18,7.24,0.922659,0.922659,0.922659,0.922659,0.922659,1,0.0776692834281417
318247,CW_188,Clearwater,188,10.66,10.78,2.47,0.728034,0.728034,0.728034,0.728034,0.728034,1,0.027100661580697
318248,CW_189,Clearwater,189,9.99,11.83,4.18,0.722541,0.722541,0.722541,0.722541,0.722541,1,0.0425176077401622
318249,CW_190,Clearwater,190,10.7,9.99,1.5,0.699874,0.685202,0.670151,0.654742,0.639002,1,0.015565191900934
318250,CW_191,Clearwater,191,9.75,14.94,2.13,0.305709,0.305709,0.305709,0.305709,0.305709,1,0.0203455275875592
318251,CW_192,Clearwater,192,10.38,14.72,3.04,0.563738,0.563738,0.563738,0.563738,0.563738,1,0.0297197438253803
318252,CW_193,Clearwater,193,10.52,11.98,2.3,0.654459,0.654459,0.654459,0.654459,0.654459,1,0.0285091525812783
318253,CW_194,Clearwater,194,10.13,13.6,2.07,0.476832,0.476832,0.476832,0.476832,0.476832,1,0.0190849302669889
318254,CW_195,Clearwater,195,10.71,9.59,1.5,0.715911,0.689038,0.660828,0.631427,0.601016,1,0.0140029071367774
318255,CW_196,Clearwater,196,10.71,13.58,1.5,0.538187,0.538187,0.538187,0.538187,0.538187,1,0.015257534755162
318256,CW_197,Clearwater,197,10.49,6.18,4.49,0.898185,0.818097,0.696311,0.53894,0.373405,1,0.05010208192063
318257,CW_198,Clearwater,198,10.35,5.88,7.86,0.940558,0.882486,0.780894,0.628454,0.445293,1,0.087823883466653
318258,CW_199,Clearwater,199,10.33,9.74,3.5,0.796609,0.776022,0.753994,0.730552,0.705747,1,0.0419005256497322
318259,CW_200,Clearwater,200,10.52,8.72,4.32,0.856803,0.8184,0.772433,0.718828,0.658184,1,0.0482229765641274
318260,CW_201,Clearwater,201,10.98,11.47,1.5,0.66361,0.66361,0.66361,0.66361,0.66361,1,0.0184159795655566
318261,CW_202,Clearwater,202,10.22,11.86,2.63,0.647629,0.647629,0.647629,0.647629,0.647629,1,0.0260386070778656
318262,CW_203,Clearwater,203,9.8,12.57,7.8,0.856517,0.856517,0.856517,0.856517,0.856517,1,0.087431104081787
318263,CW_204,Clearwater,204,10.8,10.04,4.59,0.857403,0.857403,0.857403,0.857403,0.857403,1,0.048360390028593
318264,CW_205,Clearwater,205,10.07,9.59,4.5,0.827554,0.804717,0.77966,0.752379,0.722919,1,0.0542159289527852
318265,CW_206,Clearwater,206,10.13,12.34,3.74,0.690538,0.690538,0.690538,0.690538,0.690538,1,0.0410553848638803
318266,CW_207,Clearwater,207,10.36,9.17,4.5,0.84967,0.819741,0.785359,0.746447,0.703147,1,0.0478349609112763
318267,CW_208,Clearwater,208,10.73,12.97,2.5,0.661578,0.661578,0.661578,0.661578,0.661578,1,0.0311546567006067
318268,CW_209,Clearwater,209,10.95,9.0,1.5,0.740472,0.696186,0.647936,0.596465,0.542779,1,0.0176806424218054
318269,CW_210,Clearwater,210,10.59,7.34,3.5,0.858922,0.788746,0.696016,0.584048,0.462676,1,0.0346178990679785
318270,CW_211,Clearwater,211,10.54,11.57,2.5,0.689874,0.689874,0.689874,0.689874,0.689874,1,0.0238967634861137
318271,CW_212,Clearwater,212,10.74,13.31,1.5,0.556503,0.556503,0.556503,0.556503,0.556503,1,0.0138539999825948
318272,CW_213,Clearwater,213,10.79,9.66,1.5,0.715716,0.690956,0.66505,0.63811,0.610272,1,0.0159041728021183
318273,CW_214,Clearwater,214,10.96,11.85,1.5,0.648507,0.648507,0.648507,0.648507,0.648507,1,0.0144106766419743
318274,CW_215,Clearwater,215,10.31,11.19,1.5,0.612773,0.612773,0.612773,0.612773,0.612773,1,0.014014021430746
318275,CW_216,Clearwater,216,10.44,9.66,3.5,0.803717,0.781809,0.758192,0.732892,0.705971,1,0.0399665466809367
318276,CW_217,Clearwater,217,10.16,10.78,3.5,0.74769,0.74769,0.74769,0.74769,0.74769,1,0.0336299895972927
318277,CW_218,Clearwater,218,10.43,11.88,2.5,0.662653,0.662653,0.662653,0.662653,0.662653,1,0.0252022082403843
318278,CW_219,Clearwater,219,9.77,10.56,8.93,0.912786,0.912786,0.912786,0.912786,0.912786,1,0.0972973621579461
318279,CW_223,Clearwater,223,9.16,13.38,2.88,0.367723,0.367723,0.367723,0.367723,0.367723,1,0.0341278112901069
318280,CW_224,Clearwater,224,10.25,10.58,8.97,0.938543,0.938543,0.938543,0.938543,0.938543,1,0.0956796023810012
318281,CW_225,Clearwater,225,10.81,14.75,2.74,0.64188,0.64188,0.64188,0.64188,0.64188,1,0.0289661251678362
318282,CW_226,Clearwater,226,10.52,12.63,1.5,0.554481,0.554481,0.554481,0.554481,0.554481,1,0.0151124306130126
318283,CW_227,Clearwater,227,10.02,14.07,3.5,0.556086,0.556086,0.556086,0.556086,0.556086,1,0.0421447023824081
318284,CW_228,Clearwater,228,9.2,14.44,1.5,0.199292,0.199292,0.199292,0.199292,0.199292,1,0.0149706014719085
318285,CW_229,Clearwater,229,10.94,10.34,1.5,0.698153,0.698153,0.698153,0.698153,0.698153,1,0.0143509153614775
318286,CW_230,Clearwater,230,10.05,13.46,3.5,0.597866,0.597866,0.597866,0.597866,0.597866,1,0.0364936493676757
318287,CW_232,Clearwater,232,10.39,8.24,4.5,0.867851,0.821144,0.762449,0.691722,0.610691,1,0.0437083060839229
318288,CW_233,Clearwater,233,10.36,12.86,2.5,0.604823,0.604823,0.604823,0.604823,0.604823,1,0.0260354372519201
318289,CW_237,Clearwater,237,10.52,8.9,3.5,0.825996,0.786994,0.741982,0.691189,0.635313,1,0.036135954179918
318290,CW_241,Clearwater,241,10.98,10.19,1.5,0.704932,0.704932,0.704932,0.704932,0.704932,1,0.0168366393976699
318291,CW_244,Clearwater,244,10.98,11.97,1.5,0.646558,0.646558,0.646558,0.646558,0.646558,1,0.0168730211243637
318292,CW_245,Clearwater,245,10.85,11.86,1.5,0.635457,0.635457,0.635457,0.635457,0.635457,1,0.0182760136125873
318293,CW_246,Clearwater,246,10.84,6.7,1.5,0.8085,0.704788,0.574471,0.432914,0.301522,1,0.0147897671758593
318294,CW_247,Clearwater,247,9.96,10.31,2.5,0.702289,0.702289,0.702289,0.702289,0.702289,1,0.0264747379649981
318295,CW_248,Clearwater,248,10.73,14.4,1.5,0.503393,0.503393,0.503393,0.503393,0.503393,1,0.018807815169627
318296,CW_249,Clearwater,249,10.85,8.65,5.43,0.895555,0.863574,0.823728,0.775273,0.718057,1,0.059851806250603
318297,CW_250,Clearwater,250,10.46,8.9,2.5,0.786052,0.742332,0.693166,0.639178,0.581427,1,0.0261619148981671
318298,CW_251,Clearwater,251,10.85,8.94,2.5,0.790747,0.74883,0.701684,0.649826,0.594167,1,0.0259114922270474
318299,CW_252,Clearwater,252,10.22,7.12,2.57,0.848297,0.769725,0.666459,0.544299,0.416566,1,0.0270652776584866
318300,CW_253,Clearwater,253,10.7,8.68,2.5,0.795333,0.746812,0.691252,0.629548,0.563304,1,0.0299951849630347
318301,CW_254,Clearwater,254,10.7,11.89,1.5,0.616877,0.616877,0.616877,0.616877,0.616877,1,0.0162110391780244
318302,CW_255,Clearwater,255,10.17,5.2,4.36,0.918158,0.831312,0.684027,0.487433,0.294652,1,0.0490031605282853
318303,CW_256,Clearwater,256,10.25,14.88,2.5,0.467194,0.467194,0.467194,0.467194,0.467194,1,0.0281633591108898
318304,CW_257,Clearwater,257,10.82,7.23,1.59,0.798153,0.707633,0.597014,0.47556,0.356931,1,0.0180560407889766
318305,CW_259,Clearwater,259,10.29,11.97,4.96,0.800577,0.800577,0.800577,0.800577,0.800577,1,0.0577619644823636
318306,CW_260,Clearwater,260,10.18,14.29,3.03,0.535177,0.535177,0.535177,0.535177,0.535177,1,0.0297763419495215
318307,CW_261,Clearwater,261,10.4,9.75,2.5,0.752825,0.731289,0.708603,0.684827,0.660043,1,0.0259486306811468
318308,CW_262,Clearwater,262,10.45,12.04,2.5,0.659153,0.659153,0.659153,0.659153,0.659153,1,0.026863406820242
318309,CW_265,Clearwater,265,10.62,13.42,2.5,0.624223,0.624223,0.624223,0.624223,0.624223,1,0.0272737364927199
318310,CW_267,Clearwater,267,10.52,9.15,3.5,0.820038,0.786564,0.748772,0.706782,0.660951,1,0.036243231414194
318311,CW_268,Clearwater,268,10.98,10.51,1.5,0.695069,0.695069,0.695069,0.695069,0.695069,1,0.0139109065450779
318312,CW_269,Clearwater,269,9.96,11.26,3.88,0.727084,0.727084,0.727084,0.727084,0.727084,1,0.0360730577131186
318313,CW_271,Clearwater,271,9.71,13.72,2.5,0.420206,0.420206,0.420206,0.420206,0.420206,1,0.0268800889795951
318314,CW_273,Clearwater,273,10.26,12.21,2.37,0.613561,0.613561,0.613561,0.613561,0.613561,1,0.0228125320001986
318315,CW_274,Clearwater,274,10.89,12.03,1.5,0.633784,0.633784,0.633784,0.633784,0.633784,1,0.0150261089333854
318316,CW_275,Clearwater,275,10.95,12.84,1.5,0.611602,0.611602,0.611602,0.611602,0.611602,1,0.0154799393105546
318317,CW_277,Clearwater,277,10.98,13.73,1.5,0.584262,0.584262,0.584262,0.584262,0.584262,1,0.0141318596254248
318318,CW_279,Clearwater,279,10.61,12.73,2.05,0.612379,0.612379,0.612379,0.612379,0.612379,1,0.0192996158332992
318319,CW_281,Clearwater,281,10.97,14.81,1.5,0.542146,0.542146,0.542146,0.542146,0.542146,1,0.0146891847094621
318320,CW_282,Clearwater,282,10.85,11.69,1.5,0.6422,0.6422,0.6422,0.6422,0.6422,1,0.0155042584216661
318321,CW_284,Clearwater,284,10.91,11.51,1.5,0.655322,0.655322,0.655322,0.655322,0.655322,1,0.0144073628146886
318322,CW_285,Clearwater,285,10.77,5.41,1.5,0.845717,0.717753,0.541228,0.353712,0.202488,1,0.0144948363058882
318323,CW_287,Clearwater,287,10.62,10.26,2.0,0.715682,0.715682,0.715682,0.715682,0.715682,1,0.0232247735531751
318324,CW_288,Clearwater,288,10.24,12.31,3.5,0.690508,0.690508,0.690508,0.690508,0.690508,1,0.0342515141952824
318325,CW_289,Clearwater,289,10.82,8.38,2.5,0.803355,0.747632,0.682363,0.609041,0.53044,1,0.0276921649676887
318326,CW_291,Clearwater,291,10.75,11.39,1.5,0.644225,0.644225,0.644225,0.644225,0.644225,1,0.0147628580488659
318327,CW_292,Clearwater,292,10.49,8.76,4.5,0.860735,0.823839,0.779672,0.728085,0.669539,1,0.049923350485496
318328,CW_294,Clearwater,294,10.75,10.14,2.5,0.756199,0.756199,0.756199,0.756199,0.756199,1,0.024453266155851
318329,CW_296,Clearwater,296,10.79,13.26,1.5,0.568119,0.568119,0.568119,0.568119,0.568119,1,0.0166103947532796
318330,CW_298,Clearwater,298,10.94,10.6,1.5,0.689578,0.689578,0.689578,0.689578,0.689578,1,0.0143802880689419
318331,CW_299,Clearwater,299,10.68,9.25,2.5,0.779186,0.745033,0.707581,0.667085,0.623962,1,0.0274787893206436
318332,CW_300,Clearwater,300,10.89,8.09,2.48,0.808924,0.745902,0.67056,0.585299,0.494602,1,0.030075407340597
318333,CW_301,Clearwater,301,10.77,12.62,1.5,0.592919,0.592919,0.592919,0.592919,0.592919,1,0.0149987854374798
318334,CW_303,Clearwater,303,10.58,9.46,3.5,0.814472,0.788303,0.759532,0.728199,0.694426,1,0.0401577273204818
318335,CW_304,Clearwater,304,10.45,14.8,1.96,0.465208,0.465208,0.465208,0.465208,0.465208,1,0.0199789304535074
318336,CW_305,Clearwater,305,10.48,12.31,2.79,0.673484,0.673484,0.673484,0.673484,0.673484,1,0.0262803655201532
318337,CW_306,Clearwater,306,10.01,12.51,3.82,0.667463,0.667463,0.667463,0.667463,0.667463,1,0.0392174781281651
318338,CW_307,Clearwater,307,10.03,9.74,6.15,0.873166,0.856549,0.838158,0.817911,0.795748,1,0.0670024658730634
318339,CW_308,Clearwater,308,10.65,9.3,3.79,0.83211,0.803661,0.771714,0.736275,0.69749,1,0.041092411173043
318340,CW_309,Clearwater,309,10.08,13.22,2.68,0.547972,0.547972,0.547972,0.547972,0.547972,1,0.0310000132459403
318341,CW_310,Clearwater,310,10.47,10.49,1.5,0.664737,0.664737,0.664737,0.664737,0.664737,1,0.0137023209474866
318342,CW_311,Clearwater,311,10.04,10.17,1.98,0.686588,0.686588,0.686588,0.686588,0.686588,1,0.0195322399960389
318343,CW_312,Clearwater,312,10.7,6.16,2.5,0.854749,0.75242,0.610824,0.447691,0.295091,1,0.0294043580636197
318344,CW_314,Clearwater,314,10.28,9.46,1.71,0.721979,0.690707,0.657586,0.622855,0.586815,1,0.0161241279199977
318345,CW_315,Clearwater,315,10.31,14.46,1.5,0.40549,0.40549,0.40549,0.40549,0.40549,1,0.0166358302038064
318346,CW_316,Clearwater,316,10.55,13.55,1.5,0.508939,0.508939,0.508939,0.508939,0.508939,1,0.0172437063136302
318347,CW_319,Clearwater,319,10.72,10.8,1.75,0.684645,0.684645,0.684645,0.684645,0.684645,1,0.0163906510036128
318348,CW_320,Clearwater,320,10.91,9.5,1.5,0.724522,0.694957,0.663691,0.630922,0.596899,1,0.0160465252013159
318349,CW_321,Clearwater,321,10.21,12.97,2.95,0.610257,0.610257,0.610257,0.610257,0.610257,1,0.0317654081974033
318350,CW_322,Clearwater,322,10.27,14.41,2.1,0.45809,0.45809,0.45809,0.45809,0.45809,1,0.020253243449485
318351,CW_323,Clearwater,323,10.04,12.49,2.45,0.56805,0.56805,0.56805,0.56805,0.56805,1,0.0233907505025935
318352,CW_325,Clearwater,325,10.89,9.4,1.78,0.743295,0.711348,0.677152,0.64095,0.603068,1,0.0191022417918977
318353,CW_326,Clearwater,326,7.71,13.06,2.48,0.164515,0.164515,0.164515,0.164515,0.164515,1,0.0297640692338352
318354,CW_327,Clearwater,327,10.55,10.49,2.5,0.732427,0.732427,0.732427,0.732427,0.732427,1,0.0231994320773375
318355,CW_328,Clearwater,328,10.88,6.05,1.5,0.8228,0.703862,0.548862,0.383763,0.241717,1,0.0177350440331884
318356,CW_329,Clearwater,329,10.07,14.02,1.97,0.427432,0.427432,0.427432,0.427432,0.427432,1,0.0217886046678406
318357,CW_330,Clearwater,330,10.68,6.94,2.5,0.838816,0.75172,0.637879,0.506133,0.37353,1,0.0272051212196416
318358,CW_331,Clearwater,331,10.44,8.19,6.98,0.920709,0.887607,0.843041,0.785083,0.713009,1,0.0708586827003312
318359,CW_333,Clearwater,333,10.63,9.66,1.5,0.711096,0.686012,0.659793,0.632556,0.604447,1,0.0166288818146341
318360,CW_334,Clearwater,334,10.88,8.26,1.5,0.762793,0.697676,0.623506,0.543058,0.460299,1,0.0139933852862867
318361,CW_335,Clearwater,335,9.4,13.12,3.54,0.4892,0.4892,0.4892,0.4892,0.4892,1,0.0388931842435463
318362,CW_336,Clearwater,336,10.59,9.21,3.5,0.820517,0.788767,0.753092,0.71358,0.67051,1,0.0418772026672747
318363,CW_337,Clearwater,337,10.84,8.27,1.93,0.782066,0.71994,0.648074,0.568811,0.485859,1,0.0188289865869054
318364,CW_338,Clearwater,338,8.09,7.32,2.4,0.881907,0.821591,0.739567,0.636515,0.519196,1,0.0290349265716064
318365,CW_339,Clearwater,339,10.07,10.68,4.46,0.792127,0.792127,0.792127,0.792127,0.792127,1,0.0478982882449238
318366,CW_340,Clearwater,340,10.03,14.81,2.21,0.387687,0.387687,0.387687,0.387687,0.387687,1,0.0224710892641115
318367,CW_341,Clearwater,341,10.48,6.42,3.5,0.877894,0.793193,0.671709,0.521877,0.368003,1,0.0394354903290681
318368,CW_342,Clearwater,342,10.82,4.7,2.5,0.874478,0.742184,0.54328,0.329545,0.168816,1,0.0263054360792528
318369,CW_343,Clearwater,343,10.85,4.14,2.5,0.881342,0.737963,0.516397,0.288192,0.133082,1,0.0243276448416999
318370,CW_344,Clearwater,344,10.48,7.75,1.5,0.788738,0.712453,0.621829,0.521814,0.420019,1,0.0186363857039898
318371,CW_345,Clearwater,345,9.97,8.85,4.5,0.845642,0.807703,0.763053,0.711736,0.654339,1,0.0479879609821608
318372,CW_346,Clearwater,346,9.98,13.9,3.5,0.55583,0.55583,0.55583,0.55583,0.55583,1,0.0398195787530389
318373,CW_347,Clearwater,347,10.13,11.47,2.2,0.627898,0.627898,0.627898,0.627898,0.627898,1,0.0237098133321094
318374,CW_348,Clearwater,348,10.99,5.93,1.5,0.818498,0.693722,0.532195,0.363625,0.222996,1,0.0150304711779015
318375,CW_350,Clearwater,350,10.44,10.14,9.06,0.947976,0.947976,0.947976,0.947976,0.947976,1,0.108814615343683
318376,CW_351,Clearwater,351,10.64,12.45,1.5,0.581712,0.581712,0.581712,0.581712,0.581712,1,0.0146804072827368
318377,CW_352,Clearwater,352,10.68,8.41,3.5,0.838842,0.789877,0.730808,0.662235,0.586088,1,0.0372765678518867
318378,CW_353,Clearwater,353,10.31,14.89,1.5,0.379165,0.379165,0.379165,0.379165,0.379165,1,0.017440376718219
318379,CW_354,Clearwater,354,10.7,8.5,2.7,0.808221,0.756415,0.695881,0.627708,0.554047,1,0.0279009389860877
318380,CW_355,Clearwater,355,10.45,5.68,4.09,0.89998,0.809975,0.668786,0.488889,0.311824,1,0.0434610368070156
318381,CW_356,Clearwater,356,10.72,8.28,2.5,0.805966,0.747711,0.678934,0.601403,0.51843,1,0.0304641128010483
318382,CW_357,Clearwater,357,10.45,11.45,2.17,0.661552,0.661552,0.661552,0.661552,0.661552,1,0.0255334395916819
318383,CW_358,Clearwater,358,10.96,5.41,3.5,0.875424,0.762548,0.594742,0.401435,0.234588,1,0.0440834997879677
318384,CW_360,Clearwater,360,10.66,8.28,3.27,0.833293,0.780129,0.715791,0.641285,0.559273,1,0.0325055992632339
318385,CW_361,Clearwater,361,10.51,11.74,1.5,0.602012,0.602012,0.602012,0.602012,0.602012,1,0.0156361058158201
318386,CW_363,Clearwater,363,10.96,13.3,1.5,0.59638,0.59638,0.59638,0.59638,0.59638,1,0.016179083968915
318387,CW_364,Clearwater,364,10.02,14.23,2.5,0.449568,0.449568,0.449568,0.449568,0.449568,1,0.025701982328683
318388,CW_365,Clearwater,365,10.1,11.28,2.5,0.656768,0.656768,0.656768,0.656768,0.656768,1,0.0255041842902796
318389,CW_366,Clearwater,366,10.11,10.52,2.71,0.712449,0.712449,0.712449,0.712449,0.712449,1,0.0289858763290366
318390,CW_367,Clearwater,367,9.82,14.15,2.01,0.367991,0.367991,0.367991,0.367991,0.367991,1,0.0209871337331622
318391,CW_368,Clearwater,368,10.74,7.9,2.5,0.8151,0.74807,0.666677,0.573964,0.475743,1,0.0269670485611452
