ObjectId,Permit_Number,Effective_Date,Expiration_Date,Permit_Type,Applicant,Street_Address,City,State,ZIP_Code,Permit_Subtype,Permit_Description,Permit_Type_Code,Subtype_Code,ID
16,24457,2014-06-16 00:00:00,2016-06-16 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",10306 U S HIGHWAY 42,LOUISVILLE,KY,40059,Gas Dispen Facility Stage II,Five Point Food Mart,GAS,STG2,839
17,24457,2014-06-16 00:00:00,2016-06-16 00:00:00,APCD Gasoline Dispense Permit,Jay Brahmani 1 Inc.,10306 U S HIGHWAY 42,LOUISVILLE,KY,40059,Gas Dispen Facility Stage II,Five Point Food Mart,GAS,STG2,840
18,24458,2015-12-16 00:00:00,2017-12-16 00:00:00,APCD Gasoline Dispense Permit,C.F.B. INC.,2912 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage II,Super USA #101,GAS,STG2,841
19,24458,2015-12-16 00:00:00,2017-12-16 00:00:00,APCD Gasoline Dispense Permit,DHANYA LLC,2912 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage II,Super USA #101,GAS,STG2,842
20,24458,2015-12-16 00:00:00,2017-12-16 00:00:00,APCD Gasoline Dispense Permit,DHANYA LLC,2912 BROWNSBORO RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage II,Super USA #101,GAS,STG2,843
21,24459,2012-01-13 00:00:00,2017-01-13 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",10314 WATTERSON TRL,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage II,FIVE STAR FOOD MART #5462,GAS,STG2,844
22,24460,2015-01-16 00:00:00,2017-01-16 00:00:00,APCD Gasoline Dispense Permit,JYOT LLC,3320 FRANKFORT AVE,LOUISVILLE,KY,40206,Gas Dispen Facility Stage II,SUPER USA - JYOT LLC,GAS,STG2,845
23,24461,2012-01-15 00:00:00,2017-01-15 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",11550 BLUEGRASS PKY,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage II,FIVE STAR FOOD MART #5145,GAS,STG2,846
24,24462,2015-05-30 00:00:00,2017-05-30 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",2800 FERN VALLEY RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage II,FIVE STAR FOOD MART #5295,GAS,STG2,847
25,24358,2011-11-01 00:00:00,2016-11-01 00:00:00,APCD Gasoline Dispense Permit,PENSKE TRUCK LEASING,2100 STANLEY GAULT PKY,LOUISVILLE,KY,40223,Gas Dispen Facility Stage I,PENSKE TRUCK LEASING STANLEY G,GAS,STG1,848
26,24359,2011-02-01 00:00:00,2016-02-01 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,8001 BROWNSBORO RD,BARBOURMEADE,KY,40241,Gas Dispen Facility Stage II,DAIRY MART #3243,GAS,STG2,849
27,24360,2013-12-15 00:00:00,2018-12-15 00:00:00,APCD Gasoline Dispense Permit,A & A MECHANICAL INC,1111 ULRICH AVE,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,A & A MECHANICAL INC.,GAS,STG1,850
28,24361,2014-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,SINGH PETRO 1,4903 POPLAR LEVEL RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,POPLAR LEVEL FOOD MART,GAS,STG2,851
29,24361,2014-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,SHIVANI INC,4903 POPLAR LEVEL RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,POPLAR LEVEL FOOD MART,GAS,STG2,852
30,24361,2014-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,SAMEY SAMEY,4903 POPLAR LEVEL RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,POPLAR LEVEL FOOD MART,GAS,STG2,853
31,24362,2011-11-30 00:00:00,2016-11-30 00:00:00,APCD Gasoline Dispense Permit,METRO PARKS,9300 WHIPPS MILL RD,LYNDON,KY,40242,Gas Dispen Facility Stage I,A B SAWYER PARK-EAST REGION,GAS,STG1,854
32,24363,2015-04-30 00:00:00,2017-04-30 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,5001 PRESTON HWY,LYNNVIEW,KY,40213,Gas Dispen Facility Stage II,CIRCLE K #3245,GAS,STG2,855
33,24364,2012-02-28 00:00:00,2017-02-28 00:00:00,APCD Gasoline Dispense Permit,PORTLAND RECYCLING INC.,1612 PORTLAND AVE,LOUISVILLE,KY,40203,Gas Dispen Facility Stage I,PORTLAND RECYCLING INC,GAS,STG1,856
34,24365,2015-06-01 00:00:00,2017-06-01 00:00:00,APCD Gasoline Dispense Permit,MACS CONVENIENCE STORES LLC,3400 TAYLOR BLVD,LOUISVILLE,KY,40215,Gas Dispen Facility Stage II,DAIRY MART #3267,GAS,STG2,857
35,24366,2008-11-01 00:00:00,2013-11-01 00:00:00,APCD Gasoline Dispense Permit,MCCRAY ENTERPRISES,2323 ROCKFORD LN,SHIVELY,KY,40216,Gas Dispen Facility Stage I,ALADDIN FOOD MART,GAS,STG1,858
36,24367,2011-11-30 00:00:00,2016-11-30 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,6325 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage II,CIRCLE K #3317,GAS,STG2,859
37,24368,2011-11-15 00:00:00,2016-11-15 00:00:00,APCD Gasoline Dispense Permit,PRUITT'S AUTOMOTIVE,3795 LEXINGTON RD,LOUISVILLE,KY,40207,Gas Dispen Facility Stage II,PRUITT'S AUTOMOTIVE,GAS,STG2,860
38,24369,2013-05-31 00:00:00,2018-05-31 00:00:00,APCD Gasoline Dispense Permit,ALLIED READY MIX COMPANY,1561 E WASHINGTON ST,LOUISVILLE,KY,40206,Gas Dispen Facility Stage I,ALLIED READY MIX,GAS,STG1,861
39,24371,2012-01-31 00:00:00,2017-01-31 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,9737 3RD STREET RD,LOUISVILLE,KY,40272,Gas Dispen Facility Stage II,DAIRY MART #3276,GAS,STG2,862
40,24372,2015-12-01 00:00:00,2017-12-01 00:00:00,APCD Gasoline Dispense Permit,QUICK FOOD MART,7031 GLOBAL DR,LOUISVILLE,KY,40258,Gas Dispen Facility Stage II,QUICK FOOD MART,GAS,STG2,863
41,24373,2011-01-01 00:00:00,2016-01-01 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS INC, DBA KEY OIL CO",610 N ENGLISH STATION RD,MIDDLETOWN,KY,40223,Gas Dispen Facility Stage I,AMCON (WHAYNE SUPPLY ENGL STA),GAS,STG1,864
42,24374,2011-02-01 00:00:00,2016-02-01 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,2728 W MARKET ST,LOUISVILLE,KY,40212,Gas Dispen Facility Stage II,DAIRY MART #3282,GAS,STG2,865
43,24375,2011-12-15 00:00:00,2016-12-16 00:00:00,APCD Gasoline Dispense Permit,QUICK FUEL,3700 BISHOP LN,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,QUICK FUEL,GAS,STG2,866
44,24376,2011-03-31 00:00:00,2016-03-31 00:00:00,APCD Gasoline Dispense Permit,SOUTHERN PETROLEUM,4610 ROOFING RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage I,AMERICAN ROOFING INC.,GAS,STG1,867
45,24377,2011-12-15 00:00:00,2016-12-15 00:00:00,APCD Gasoline Dispense Permit,MAC'S CONVENIENCE STORES LLC,4100 DIXIE HWY,SHIVELY,KY,40216,Gas Dispen Facility Stage II,CIRCLE K #0076,GAS,STG2,868
46,24379,2011-12-18 00:00:00,2016-12-18 00:00:00,APCD Gasoline Dispense Permit,AMI FOOD MART,1779 BARDSTOWN RD,LOUISVILLE,KY,40205,Gas Dispen Facility Stage II,AMI FOOD MART,GAS,STG2,869
47,24380,2011-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,"DANE SHEET METALS, INC.",2710 OUTER LOOP,LOUISVILLE,KY,40219,Gas Dispen Facility Stage I,DANE SHEET METAL,GAS,STG1,870
48,24382,2015-08-11 00:00:00,2017-08-11 00:00:00,APCD Gasoline Dispense Permit,"KEYSTOPS, LLC",10921 PLANTSIDE DR,JEFFERSONTOWN,KY,40299,Gas Dispen Facility Stage II,East End Fuel Center,GAS,STG2,871
49,24383,2013-12-15 00:00:00,2018-12-15 00:00:00,APCD Gasoline Dispense Permit,JEFFERSON COUNTY PUBLIC SCHOOL,3440 PRESTON HWY,LOUISVILLE,KY,40213,Gas Dispen Facility Stage I,DAWSON GARAGE,GAS,STG1,872
50,24384,2012-02-28 00:00:00,2017-02-28 00:00:00,APCD Gasoline Dispense Permit,JAY GAJANAND LLC,8506 SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,KWICK STOP FOOD MART,GAS,STG2,873
51,24463,2014-12-15 00:00:00,2016-12-15 00:00:00,APCD Gasoline Dispense Permit,SVK INC,4406 TAYLOR BLVD,LOUISVILLE,KY,40215,Gas Dispen Facility Stage II,SPEEDY MART #22,GAS,STG2,1024
52,24464,2015-02-04 00:00:00,2017-02-04 00:00:00,APCD Gasoline Dispense Permit,"NEWCOMB OIL COMPANY,LLC",9501 CANE RUN RD,LOUISVILLE,KY,40258,Gas Dispen Facility Stage II,FIVE STAR FOOD MART #5301,GAS,STG2,1025
53,24465,2014-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,ASMA FOOD MART INC,401 WINKLER AVE,LOUISVILLE,KY,40208,Gas Dispen Facility Stage II,SPEEDYMART #30,GAS,STG2,1026
54,24465,2014-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,SHIVANI INC,401 WINKLER AVE,LOUISVILLE,KY,40208,Gas Dispen Facility Stage II,SPEEDYMART #30,GAS,STG2,1027
55,24465,2014-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,N&R OIL CORPORATION,401 WINKLER AVE,LOUISVILLE,KY,40208,Gas Dispen Facility Stage II,SPEEDYMART #30,GAS,STG2,1028
56,24465,2014-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,KAMCO OIL CO.,401 WINKLER AVE,LOUISVILLE,KY,40208,Gas Dispen Facility Stage II,SPEEDYMART #30,GAS,STG2,1029
57,24467,2011-12-01 00:00:00,2016-12-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,11301 WESTPORT RD,LOUISVILLE,KY,40241,Gas Dispen Facility Stage II,SPEEDWAY #9315,GAS,STG2,1030
58,24468,2015-06-15 00:00:00,2017-06-15 00:00:00,APCD Gasoline Dispense Permit,JAY GANPATI LLC 2,7401 NEW LA GRANGE RD,ST MATTHEWS,KY,40222,Gas Dispen Facility Stage II,Patel's Food Mart,GAS,STG2,1031
59,24468,2015-06-15 00:00:00,2017-06-15 00:00:00,APCD Gasoline Dispense Permit,KENA OIL LLC,7401 NEW LA GRANGE RD,ST MATTHEWS,KY,40222,Gas Dispen Facility Stage II,Patel's Food Mart,GAS,STG2,1032
60,24468,2015-06-15 00:00:00,2017-06-15 00:00:00,APCD Gasoline Dispense Permit,KEYSTOPS LLC,7401 NEW LA GRANGE RD,ST MATTHEWS,KY,40222,Gas Dispen Facility Stage II,Patel's Food Mart,GAS,STG2,1033
61,24468,2015-06-15 00:00:00,2017-06-15 00:00:00,APCD Gasoline Dispense Permit,LLC   KEYSTOPS,7401 NEW LA GRANGE RD,ST MATTHEWS,KY,40222,Gas Dispen Facility Stage II,Patel's Food Mart,GAS,STG2,1034
62,24469,2011-12-01 00:00:00,2016-12-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,5400 ANTLE DR,LOUISVILLE,KY,40229,Gas Dispen Facility Stage II,SPEEDWAY #9358,GAS,STG2,1035
63,24471,2015-09-25 00:00:00,2017-09-25 00:00:00,APCD Gasoline Dispense Permit,SINGH PETRO 2 INC,1035 ZORN AVE,LOUISVILLE,KY,40207,Gas Dispen Facility Stage II,Zorn Ave. Valero,GAS,STG2,1036
64,24471,2015-09-25 00:00:00,2017-09-25 00:00:00,APCD Gasoline Dispense Permit,SUKH BAINS,1035 ZORN AVE,LOUISVILLE,KY,40207,Gas Dispen Facility Stage II,Zorn Ave. Valero,GAS,STG2,1037
65,24472,2015-07-31 00:00:00,2020-07-31 00:00:00,APCD Gasoline Dispense Permit,PENSKE TRUCK LEASING,4300 PETERSBURG RD,WEST BUECHEL,KY,40218,Gas Dispen Facility Stage I,PENSKE TRUCK LEASING PETERSBRG,GAS,STG1,1038
66,24473,2011-12-02 00:00:00,2016-12-02 00:00:00,APCD Gasoline Dispense Permit,SMS PETRO INC,3741 S HURSTBOURNE PKY,LOUISVILLE,KY,40299,Gas Dispen Facility Stage II,HURSTBOURNE BP,GAS,STG2,1039
67,24476,2011-09-01 00:00:00,2016-09-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,9500 BROWNSBORO RD,LOUISVILLE,KY,40241,Gas Dispen Facility Stage II,SPEEDWAY #9373,GAS,STG2,1040
68,24478,2011-12-31 00:00:00,2016-12-31 00:00:00,APCD Gasoline Dispense Permit,FUNERAL AUTO CO INC,724 CAWTHON ST,LOUISVILLE,KY,40203,Gas Dispen Facility Stage I,FUNERAL AUTO CO INC,GAS,STG1,1041
69,24479,2012-01-01 00:00:00,2017-01-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,7430 TERRY RD,LOUISVILLE,KY,40258,Gas Dispen Facility Stage II,SPEEDWAY #9511,GAS,STG2,1042
70,24483,2013-12-15 00:00:00,2015-12-15 00:00:00,APCD Gasoline Dispense Permit,DHALIWAL LLC,8200 PRESTON HWY,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,DHALIWAL LLC,GAS,STG2,1043
71,24484,2015-11-30 00:00:00,2017-11-30 00:00:00,APCD Gasoline Dispense Permit,Grhamshaym Vijay LLC.,4527 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,DONGAR FOOD MART #0548,GAS,STG2,1044
72,24484,2015-11-30 00:00:00,2017-11-30 00:00:00,APCD Gasoline Dispense Permit,"NIDHI, LLC.",4527 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,DONGAR FOOD MART #0548,GAS,STG2,1045
73,24484,2015-11-30 00:00:00,2017-11-30 00:00:00,APCD Gasoline Dispense Permit,DONGAR FOOD MART,4527 BARDSTOWN RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,DONGAR FOOD MART #0548,GAS,STG2,1046
74,24485,2002-10-31 00:00:00,2011-10-31 00:00:00,APCD Gasoline Dispense Permit,NORMAN WHEATLEY,4000 BUECHEL BANK RD,LOUISVILLE,KY,40225,Gas Dispen Facility Stage I,GENERAL ELECTRIC,GAS,STG1,1047
75,24486,2015-01-18 00:00:00,2017-01-18 00:00:00,APCD Gasoline Dispense Permit,"SHREEJI FOOD, LLC",2704 CRITTENDEN DR,LOUISVILLE,KY,40209,Gas Dispen Facility Stage II,SUPER USA #8,GAS,STG2,1048
76,24487,2015-12-02 00:00:00,2017-12-02 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,2965 BRECKENRIDGE LN,LOUISVILLE,KY,40220,Gas Dispen Facility Stage II,SPEEDWAY #9514,GAS,STG2,1049
77,24488,2013-02-05 00:00:00,2016-04-30 00:00:00,APCD Gasoline Dispense Permit,SINGH PETROLEUM INC,3301 NEWBURG RD,LOUISVILLE,KY,40218,Gas Dispen Facility Stage II,SINGH FOOD MART,GAS,STG2,1050
78,24489,2013-10-01 00:00:00,2018-10-01 00:00:00,APCD Gasoline Dispense Permit,GEOGHEGAN ROOFING CORPORATION,1405 GARLAND AVE,LOUISVILLE,KY,40210,Gas Dispen Facility Stage I,GEOGHEGAN ROOFING CO,GAS,STG1,1051
79,24490,2011-12-15 00:00:00,2016-12-15 00:00:00,APCD Gasoline Dispense Permit,BULK PETROLEUM CORP,3130 POPLAR LEVEL RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage II,SPEEDY MART #60,GAS,STG2,1052
80,24490,2011-12-15 00:00:00,2016-12-15 00:00:00,APCD Gasoline Dispense Permit,SIRI HARIKRISHNA INC,3130 POPLAR LEVEL RD,LOUISVILLE,KY,40213,Gas Dispen Facility Stage II,SPEEDY MART #60,GAS,STG2,1053
81,24491,2010-10-02 00:00:00,2015-10-02 00:00:00,APCD Gasoline Dispense Permit,GLENMARY COUNTRY CLUB,10200 GLENMARY FARM DR,LOUISVILLE,KY,40291,Gas Dispen Facility Stage I,GLENMARY COUNTRY CLUB,GAS,STG1,1054
82,24492,2011-12-01 00:00:00,2016-12-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,2720 TAYLORSVILLE RD,KINGSLEY,KY,40205,Gas Dispen Facility Stage II,SPEEDWAY #9515,GAS,STG2,1055
83,24493,2011-12-15 00:00:00,2016-12-16 00:00:00,APCD Gasoline Dispense Permit,RED BIRDS FOOD STORES LLC,2210 ARTHUR ST,LOUISVILLE,KY,40208,Gas Dispen Facility Stage II,RED BIRDS FOOD STORE LLC,GAS,STG2,1056
84,24495,2014-11-15 00:00:00,2016-11-15 00:00:00,APCD Gasoline Dispense Permit,SUNNY JRP. INC.,2338 LEXINGTON RD,LOUISVILLE,KY,40206,Gas Dispen Facility Stage II,SPEEDY MART #166,GAS,STG2,1057
85,24496,2015-01-15 00:00:00,2017-01-15 00:00:00,APCD Gasoline Dispense Permit,GRAB-IT-GO CHEVRON,3401 BRECKENRIDGE LN,LOUISVILLE,KY,40220,Gas Dispen Facility Stage II,S&S Oil Inc.,GAS,STG2,1058
86,24496,2015-01-15 00:00:00,2017-01-15 00:00:00,APCD Gasoline Dispense Permit,S&S Oil Inc.,3401 BRECKENRIDGE LN,LOUISVILLE,KY,40220,Gas Dispen Facility Stage II,S&S Oil Inc.,GAS,STG2,1059
87,24497,2014-12-27 00:00:00,2016-12-27 00:00:00,APCD Gasoline Dispense Permit,"ANITA & SON FOOD MART, INC.",6102 BARDSTOWN RD,LOUISVILLE,KY,40291,Gas Dispen Facility Stage II,ANITA & SON FOOD MART INC,GAS,STG2,1060
88,24502,2011-01-02 00:00:00,2016-01-02 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,4308 BISHOP LN,WATTERSON PARK,KY,40218,Gas Dispen Facility Stage II,SPEEDWAY #9518,GAS,STG2,1061
89,24504,2015-09-02 00:00:00,2017-09-02 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,1415 LYNDON LN,GRAYMOOR/DEVONDALE,KY,40222,Gas Dispen Facility Stage II,SPEEDWAY #9529,GAS,STG2,1062
90,24506,2011-10-30 00:00:00,2016-10-30 00:00:00,APCD Gasoline Dispense Permit,HALL CONTRACTING OF KENTUCKY,3800 CRITTENDEN DR,LOUISVILLE,KY,40209,Gas Dispen Facility Stage I,HALL CONTRACTING OF KENTUCKY,GAS,STG1,1063
91,24507,2011-07-02 00:00:00,2016-07-02 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,9416 SHELBYVILLE RD,LOUISVILLE,KY,40222,Gas Dispen Facility Stage II,SPEEDWAY #9554,GAS,STG2,1064
92,24509,2015-08-06 00:00:00,2017-08-06 00:00:00,APCD Gasoline Dispense Permit,MANGAL LLC,10600 SHELBYVILLE RD,DOUGLASS HILLS,KY,40223,Gas Dispen Facility Stage II,Dongar Food Mart 0530,GAS,STG2,1065
93,24510,2011-11-01 00:00:00,2016-11-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,1101 BARDSTOWN RD,LOUISVILLE,KY,40204,Gas Dispen Facility Stage II,SPEEDWAY #9612,GAS,STG2,1066
94,24512,2016-01-16 00:00:00,2018-01-16 00:00:00,APCD Gasoline Dispense Permit,MACS CONVENIENCE STORES LLC,14000 TAYLORSVILLE RD,LOUISVILLE,KY,40299,Gas Dispen Facility Stage II,CIRCLE K #3312,GAS,STG2,1067
95,24513,2015-11-16 00:00:00,2017-11-16 00:00:00,APCD Gasoline Dispense Permit,THORNTONS INC,4900 BROWNSBORO RD,NORTHFIELD,KY,40222,Gas Dispen Facility Stage II,THORNTON'S #158,GAS,STG2,1068
96,24514,2012-01-01 00:00:00,2017-01-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,12201 DIXIE HWY,LOUISVILLE,KY,40272,Gas Dispen Facility Stage II,SPEEDWAY #9636,GAS,STG2,1069
97,24515,2015-04-02 00:00:00,2020-04-02 00:00:00,APCD Gasoline Dispense Permit,HAZELWOOD CENTER,1800 OLD BLUEGRASS AVE,LOUISVILLE,KY,40215,Gas Dispen Facility Stage I,HAZELWOOD CENTER,GAS,STG1,1070
98,24517,2014-05-01 00:00:00,2019-05-01 00:00:00,APCD Gasoline Dispense Permit,HERTZ EQUIPMENT RENTAL CORP.,13159 MIDDLETOWN INDUSTRIAL BLVD,MIDDLETOWN,KY,40223,Gas Dispen Facility Stage I,HERTZ EQUIPMENT RENTAL,GAS,STG1,1071
99,24519,2011-01-02 00:00:00,2016-01-02 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,4720 DIXIE HWY,SHIVELY,KY,40216,Gas Dispen Facility Stage II,SPEEDWAY #9640,GAS,STG2,1072
100,24520,2015-01-15 00:00:00,2017-01-15 00:00:00,APCD Gasoline Dispense Permit,THE HERTZ CORPORATION,440 HURON AVE,LOUISVILLE,KY,40209,Gas Dispen Facility Stage II,HERTZ RENT-A-CAR,GAS,STG2,1073
101,24782,2011-12-01 00:00:00,2016-12-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,7002 SHEPHERDSVILLE RD,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,SPEEDWAY #9624,GAS,STG2,1124
102,24784,2014-08-02 00:00:00,2016-08-02 00:00:00,APCD Gasoline Dispense Permit,SHORTY'S BROADWAY LLC,3501 W BROADWAY,LOUISVILLE,KY,40211,Gas Dispen Facility Stage II,SHORTY'S FOOD MART #2,GAS,STG2,1125
103,24785,1999-05-31 00:00:00,2001-06-01 00:00:00,APCD Gasoline Dispense Permit,"Diageo Americas Supply, Inc.",3860 FITZGERALD RD,SHIVELY,KY,40216,Gas Dispen Facility Stage I,UNITED DISTILLERS,GAS,STG1,1126
104,24786,2011-10-01 00:00:00,2016-10-01 00:00:00,APCD Gasoline Dispense Permit,SPEEDWAY LLC,5608 PRESTON HWY,LOUISVILLE,KY,40219,Gas Dispen Facility Stage II,SPEEDWAY #3709,GAS,STG2,1127
105,24789,2014-04-01 00:00:00,2019-04-01 00:00:00,APCD Gasoline Dispense Permit,UNIVERSITY OF LOUISVILLE,1800 ARTHUR ST,LOUISVILLE,KY,40208,Gas Dispen Facility Stage I,UNIVERSITY OF LOUISVILLE,GAS,STG1,1128
106,24749,2011-12-31 00:00:00,2016-12-31 00:00:00,APCD Gasoline Dispense Permit,THORNTON OIL CORPORATION,10320 WESTPORT RD,LOUISVILLE,KY,40241,Gas Dispen Facility Stage II,THORNTON OIL #057,GAS,STG2,1129
107,24750,2015-06-30 00:00:00,2017-06-30 00:00:00,APCD Gasoline Dispense Permit,THORNTONS INC,3320 PRESTON HWY,LOUISVILLE,KY,40213,Gas Dispen Facility Stage II,THORNTON OIL #060,GAS,STG2,1130
