OBJECTID,CYCLE,ID305B,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,Shape__Length
32,2008,CT3708-01_02,Muddy Brook (Woodstock)-02,"From Route 197 crossing, US to confluence with Moss Brook (just DS of Route 169 crossing, Sherman corner area), Woodstock.",1.98196984,1100001,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,10464.8008916584
34,2008,CT3708-10_01,North Running Brook-01,"From mouth at confluence with Muddy Brook, US to runoff ditch from farm field (300Ft US of farm road crossing) (farm road crossing is 900Ft US of Muddy Brook confluence, farm road is off of Child Hill Road), Woodstock.",0.19458642,1100001,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,1027.41667673479
38,2008,CT3710-00_02,Mashamoquet Brook-02,"From confluence with Wolf Den Brook (just US of Route 101 crossing), US to Taft Pond outlet dam (US of Taft Pond Road crossing), Pomfret.  Includes diversion to swimming pond in Mashamoquet State Park.",4.36270836,1100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23035.1012423666
43,2008,CT3716-00_01,Broad Brook (Preston)-01,"From mouth at confluence with Quinnebaug River (DS of Old Jewett City Road crossing), at the Preston/Lisbon/Griswold borders, US to Lewis Pond outlet dam (north side of Route 165, near intersection with Lewis Road), Preston.",4.73312375,1100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24990.8920995497
45,2008,CT3100-00_02,Willimantic River-02,"From confluence with Tenmile River (at Columbia/Lebanon/Windham borders, just DS of Route 66 crossing), US to Eagleville Pond dam outlet (just US of Stonehouse Road crossing).",6.58657905,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,34777.1373580059
46,2008,CT3100-00_03,Willimantic River-03,"Inlet to Eagleville Pond (west of Route 32 and RailRoad tracks near Ravine Road intersection), Mansfield, US to I84 crossing (includes under highway crossing area), Willington/Tolland.",9.58600238,1100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,50614.0924086337
52,2008,CT3100-19_01,Eagleville Brook-01,"From mouth at entrance to Eagleville Pond (lower eastern corner), US to confluence with Kings (Roberts) Brook (east side of North Eagleville Road), Mansfield.",0.68238093,1100002,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3602.97078641081
53,2008,CT3100-19_02,Eagleville Brook-02,"From confluence with Kings (Roberts) Brook (east side of North Eagleville Road), US to headwaters near UConn campus (just crossing Stadium Road), Mansfield.",1.67117646,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8823.8120216177
59,2008,CT5107-00_01,Neck River-01,"From head of tide (marsh exit, parallel to Neck Road, DS of Route 1 crossing), US to headwaters (just northeast of Roure 80 and Route 79 rotary intersection, and south of aqueduct), Madison.",9.49037872,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,50109.1993188181
64,2008,CT4305-00_01,Morgan Brook-01,"From mouth at West Branch Farmington River, US to confluence with tributary 4305-04 (first confluence) on east side of Route 44, Barkhamsted.",0.6867637,1080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3626.11252568556
65,2008,CT4310-00_01,Nepaug River-01,"From mouth at confluence with Farmington River (southwest of Route 202 crossing), US to Nepaug Reservoir outlet dam.",0.89714371,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4736.91855732827
67,2008,CT4320-19_01,Mountain Brook (Suffield)-01,"From mouth at confluence with Hungary Brook (just US of RailRoad crossing on Hungary Brook), US to confluence with unnamed tributary just US of Copper Hill Road crossing,  Suffield.",1.36557423,1080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7210.23054455565
69,2008,CT5108-00_01,East River (Guilford)-01,"From Platner Dam (just US of Foot Bridge Road crossing, head of tide), US to 2nd unnamed tributary (below lakes), Guilford.",0.67464022,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3562.1004902694
74,2008,CT3103-00_01,Furnace Brook (Stafford)-01,"From mouth at confluence with Middle River, US through concrete channel, stopping at US end of conrete channel (passes under RailRoad tracks and Route 14), Stafford.",0.17700786,1100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,934.601168822145
76,2008,CT3104-00-2-L8_outlet_01,Ruby Lake outlet stream-01,"From mouth at Roaring Brook, Wilington, US to wetland adjacent to truck stop, SouthWest of Exit 71 off I84.",0.12141053,1100002,Not Supporting,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,641.047388201607
81,2008,CT3106-00_01,Skungamaug River-01,"From mouth at confluence with Hop River, Andover, US to headwaters (US of Old Tolland Road crossing), Tolland.",16.69971844,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,88174.5117653779
82,2008,CT3108-00_01,Hop River (Willimantic-Bolton)-01,"From mouth at confluence with Willimantic River (just south of Route 6), Willimantic, US to headwaters (near Route 6 and Stony Road intersection), Bolton.",15.11571597,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,79810.9794219986
89,2008,CT3800-00_03,Shetucket River-03,"From Sprague WPCF (near head of Occum Pond), US to confluence with Merrick Brook at Sprague/Scotland town line (DS of Scotland Dam).",4.70275563,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24830.5500251988
92,2008,CT4000-00_01,Connecticut River-01,"From head of estuary at Chapman Pond outlet, East Haddam, US to northern most boundary of Hurd State Park, East Hampton.",10.26639404,1080205,Not Assessed,Insufficient Information,Not Supporting,Water Not Classified For Drinking Supply,54206.5610869985
93,2008,CT4000-00_02,Connecticut River-02,"From northern most boundary of Hurd State Park, East Hampton, US to confluence with Reservoir Brook (adjacent to Gildersleeve Island), Portland.",10.48590731,1080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,55365.5909592173
94,2008,CT4000-00_03,Connecticut River-03,"From Reservoir Brook confluence (adjacent to Gildersleeve Island), Portland, US to MA border.",35.26445205,1080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,186196.306230865
101,2008,CT7300-00_01,Norwalk River-01,"From Wall Street (Commerce Street) crossing (head of estuary/saltwater limit), Norwalk, US to confluence with Bryant Brook (DS of Wolfpit Road crossing), Wilton. (Segment includes Winnipauk Mill Pond and Deering Pond)",5.63225583,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,29738.3105068215
102,2008,CT7202-00_01,Aspetuck River (Westport-Easton)-01,"From confuence with Saugatuck River (DS of Weston Road (ROUTE 57) crossing), Wetport, US to Aspetuck Reservoir outlet dam (US of Black Rock Turnpike (Route 58) crossing), Easton. (Segment passes through Pfeiffer Pond, Weston/Easton town border)",5.93342172,1100006,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,31328.4677731439
104,2008,CT7203-00_01,West Branch Saugatuck River-01,"From mouth at confluence with Saugatuck River (DS of Pan Handle Lane crossing), Westport, US to Godfrey Road West crossing (just east of Old Orchard Drive intersection), Weston.",6.12253604,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32326.989516921
105,2008,CT4601-02_01,Hatchery Brook-01,"From mouth at confluence with Belcher Brook, US to area adjacent to Lions Club Pool (just US of Norton Road crossing), Berlin.",1.87661221,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9908.5127205734
108,2008,CT6025-00_03,Farmill River-03,"From confluence with Means Brook (just DS of Huntington Street crossing), US to Far Mill (Isinglass) Reservoir outlet dam, just US of Farmill Street crossing (beginning of drinking water watershed), Shelton.",3.3347394,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,17607.4229501056
110,2008,CT6910-00_02,Branch Brook-02,"From Black Rock Dam outlet (along south side of Route 109), US to Wigwam Reservoir outlet dam, Watertown-Thomaston.",1.90556641,1100005,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10061.3907470195
111,2008,CT6912-00_01,Steele Brook-01,"From mouth at confluence with Naugatuck River (just DS of Route 8 crossing), US to Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury.",1.18408945,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6251.99236038743
112,2008,CT6912-00_02,Steele Brook-02,"From Sherwood Medical (American Home Products) area (site is behind Municipal Stadium parking lot on northend of stadium property), Waterbury, US to INLET of Heminway Pond (DS of Route 6 crossing, pond included in segment), Watertown.",3.78043389,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,19960.6907779557
116,2008,CT7000-22_02,Indian River (Westport)-02,"From I95 crossing, Westport, US to headwaters (portions of river in concrete channels and pipes), Norwalk. (Segment made from site map, actual hydro must be mapped to confirm underground portions)",0.9380393,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4952.84765802188
118,2008,CT7105-00_02,Pequonnock River-02,"From inlet to Bunnells (Beardsley Park) Pond (eastern side of Route 8, exit 6 area), Bridgeport, US to Daniels Farm Road crossing (US of Route 25 crossing), Trumbull.",2.92015245,1100006,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,15418.4059247559
119,2008,CT7105-00_03,Pequonnock River-03,"From Daniels Farm Road crossing (US of Route 25 crossing), Trumbull, US to Monroe Turnpike (Route 111) crossing (near intersection with Route 25), Trumbull.",4.19021088,1100006,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,22124.3127581934
133,2008,CT3206-00_02,Mount Hope River-02,"From first Route 89 (Mansfield Road) crossing, Ashford, US to headwaters at Morey Pond outlet dam, on Union/Ashford border.",9.98763124,1100002,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,52734.6926828632
135,2008,CT3207-00_01b,Fenton River-01b,"From Gurleyville Road crossing, US to confluence with unnamed tributary (~1 mile US of Gurleyville road crossing), perpendicular to Hoursebarn Hill Road, Mansfield.",1.24267599,1100002,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,6561.3291874684
140,2008,CT3800-00_01,Shetucket River-01,"From end of estuary, at Route 2 crossing, US to Greenville dam, Norwich.",1.55687276,1100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8220.28852354698
142,2008,CT7109-00_01,Sasco Brook-01,"From Bulkely Pond OUTLET dam (US side of Post Road East (Route 1) crossing), Westport/Fairfield town border, US to Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border. (Segment includes Buckley Pond)",1.41970602,1100006,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7496.04809100135
143,2008,CT7109-00_02,Sasco Brook-02,"From Hulls Farm Road crossing (just DS of Great Brook confluence), Westport/Fairfield town border, US to headwaters at marsh (US of Burr Street crossing), Fairfield.",5.20179483,1100006,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,27465.4767175731
144,2008,CT7109-06_01,Great Brook (Fairfield)-01,"From mouth at confluence with Sasco Brook (just US of Hulls Farm Road crossing of Sasco Brook, east bank), US to first confluence with unnamed brook (just US of Morehouse Lane crossing, DS of marsh), Fairfield.",0.71510125,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3775.73497520444
148,2008,CT7200-00_03,Saugatuck River-03,"From INLET to Saugatuck Reservoir at Newtown Turnpike (Route 53) crossing, US to confluence with Bogus Mountain Brook (US of Redding Road (Route 53) crossing, and parallel to Station Road), Redding.",4.36050372,1100006,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,23023.459304263
151,2008,CT3805-00_02,Little River (Sprague)-02,"From inlet to Versailles Pond (northwest corner of pond),  US to Papermill Pond outlet dam, Sprague.",0.89152384,1100002,Not Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,4707.24568821627
152,2008,CT2000-30_01,Fenger Brook-01,"From mouth at head of tide, Alewife Cove (just DS of Niles Hill Road (Route 213) crossing), US to headwaters (southeast of Clark Lane and Chester Street intersection), Waterford.",3.47210103,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,18332.6933200724
153,2008,CT2102-00-trib_01,Unnamed Trib to Copps Brook-01,"From mouth at Copps Brook, just US of Quiambog Cove (parallel to Cove Road), US to headwaters near Jerry Brown Road, Stonington (intermittent).",0.65906388,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3479.85756927848
154,2008,CT2102-00_01,Copps Brook-01,"From mouth at Quiambog Cove (parallel to Cove Road), US to Palmer (Mystic) Reservoir outlet dam (just US of Jerry Brown Road crossing), Stonington.",0.76579447,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,4043.39431587565
160,2008,CT2104-00_02a,Whitford Brook-02a,"From area east of the Shewville Road and Gallup Hill Road intersection, Ledyard/Stonington town line, US to entrance of ""Lantern Hill"" wellfield (west of Lantern Hill Road, in marsh parallel with Stony Pond), Ledyard/Stonington town line.",0.74174399,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3916.40830679868
165,2008,CT3900-00_trib_01,"Unnamed Trib, Yantic River (Norwich Landfill)-01","From mouth at confluence with Yantic River, just DS of RailRoad crossing (100m US of I395 crossing of Yantic River), US to Browning Pond outlet dam, Norwich (influenced by Landfill).",0.56579786,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2987.41267742872
166,2008,CT3900-07_01,Kahn Brook-01,"From mouth at confluence with Yantic River (just DS of Fitchville Road crossing), US to chicken farm road crossing, Bozrah.",0.60832019,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3211.93075212421
169,2008,CT5202-00_01,Tenmile River (Southington/Cheshire)-01,"From mouth at confluence with Quinnipiac River (DS of Old Turnpike Road crossing), Southington, US to Lake Percivel outlet dam on Moss Farms Pond (just US of Jarvis Street crossing), Cheshire.",4.09950722,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,21645.397709688
171,2008,CT1000-00_01,Pawcatuck River-01,"From head of tide, Rte 1 crossing in Pawcatuck-Westerly, US to RI border.",5.3760575,1090005,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28385.5837869696
173,2008,CT4013-00_01,Sumner Brook-01,"From mouth at Connecticut River, Middletown, US to confuence with Long Hill Brook.",0.9713486,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5128.72036017024
174,2008,CT4013-08_01,Long Hill Brook-01,"From mouth at Sumner Brook, US to Pameacha Pond outlet dam, just US of Pamecha Avenue crossing, Middletown.",0.44688877,1080205,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2359.57269624695
179,2008,CT6004-00_01,Konkapot River-01,"From Massachusetts state border (DS of Clayton Road crossing), US to Massachusetts state border (US of Old Turnpike Road crossing), North Canaan. (Small loop through northern Connecticut).",2.44213785,1100005,Not Assessed,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,12894.4879396655
186,2008,CT4315-00_01,Pequabuck River-01,"From mouth at Farmington River, US to RailRoad crossing (US (south) of Route 72 crossing), Plainville.",5.36593207,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,28332.1219259331
187,2008,CT4315-00_02,Pequabuck River-02,"From RailRoad crossing (US (south) of Route 72 crossing), Plainville, US to Bristol POTW outfall (DS of route 229 crossing), Bristol.",3.37443449,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17817.0136961011
198,2008,CT2206-00_01,Bride Brook-01,"From head of estuary (salt water limit, just DS of Route 156 crossing),  US to Bride Lake outlet dam (just US of North Bride Brook Road), East Lyme.",0.70118756,1100003,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3702.27005635964
199,2008,CT2206-00_02,Bride Brook-02,"From inlet to Bride Lake (northwest portion, just DS of North Bride Brook Road crossing), US to headwaters (marsh on south side of Route 1), East Lyme.",2.12940896,1100003,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,11243.2795181661
200,2008,CT3000-08_01,Flat Brook (Ledyard)-01,"From mouth at confluence with Thames River (inlet to Long Cove, North of Navy Base) Gales Ferry/Ledyard, US to headwaters at unnamed pond, Groton (Brook runs North).",1.09485137,1100003,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5780.81524163202
202,2008,CT4500-00_04b,Hockanum river-04b,"From confluence with Tankerhoosen River, Vernon, US to marsh (approximatly one mile DS of Dart Hill Road crossing, parallel to Route 83, near Neak Road), Vernon.",1.66705562,1080205,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,8802.05322977154
203,2008,CT7200-22_01,Beaver Brook (Weston)-01,"From mouth at confluence with Saugatuck River (DS Slumber Lane crossing), US to confluence with Davidge Brook (adjacent to Glenwood Road), Weston.",1.01914322,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5381.07642441239
204,2008,CT7200-24_01,Kettle Creek (Weston)-01,"From mouth at confluence with Saugatuck River (DS of Good Hill Road crossing), US to confluence with unnamed tributary (DS of Kettle Creek Road crossing), Weston.",0.62186011,1100006,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3283.42134613632
205,2008,CT4308-00_01,"Farmington River, East Branch-01","From mouth at Farmington River mainstem, New Hartford, US to Lake McDonough outlet dam.",1.11343463,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5878.93459851624
207,2008,CT4600-00_04,Mattabesset River-04,"From confluence with Willow Brook, US to Kensington Dam at outlet of Railroad Pond (just US of Kensington Road crossing), Berlin.",2.83048232,1080205,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,14944.9460853354
208,2008,CT6900-00_01,Naugatuck River-01,"From mouth at confluence with Housatonic River (DS of RailRoad crossing), Derby, US to Rimmon (Tingue) outlet dam (US of Broad Street crossing, and just DS of Route 8 crossing), Seymour.",6.14964923,1100005,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32470.147583438
210,2008,CT4313-00_02,Poland River-02,"From confluence with Marsh Brook, US to confluence with unnamed brook 4313-03-1, US of Judd Road crossing (paralell with Route 72), Plymouth, CT.",0.70862708,1080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3741.55120762021
211,2008,CT4314-00_01,Coppermine Brook (Bristol)-01,"From mouth at Pequabuck River, US to New Britain drinking water watershed boundary and water diversion (just us of confluence with Polkville Brook), Bristol.",2.43143424,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,12837.9736897412
212,2008,CT4315-00_03,Pequabuck River-03,"From Bristol POTW outfall (DS of route 229 crossing), US to exit of box culvert, downtown Bristol.",1.23383162,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,6514.63105748351
213,2008,CT4315-00_04,Pequabuck River-04,"From exit of box culvert, US to entrance of box culvert (entire segment in culvert), center of Bristol.",0.32837857,1080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1733.83864086571
215,2008,CT3004-00_01,Oxoboxo Brook-01,"From mouth at head of tide (inlet to Gay Cemetery Pond, Horton Cove, Thames River), US to Wheeler Pond outlet dam, Montville. (Segment includes Rockland Pond)",2.61717059,1100003,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13818.6606879538
223,2008,CT5000-55_01,Unnamed trib to Oyster River (Milford)-01,"From Merwin Avenue crossing, US to RailRoad (Amtrak) crossing (just US of Quirkes Pond (included in segment)), Milford. ",1.47290529,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7776.93987861074
224,2008,CT5000-55_02,Unnamed trib to Oyster River (Milford)-02,"From RailRoad (Amtrak) crossing (just US of Quirks Pond), US to headwaters (inlet to unnamed swamp), just US of Cascade Boulevard (entrance to Light Sources Inc.), Milford.",0.42529086,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2245.53566800183
226,2008,CT5103-00_02,Menunketesuck River-02,"From Bushy Pond inlet (just DS of Kelseytown Road crossing), Clinton, US to Kelseytown Reservoir outlet dam (just US of Kelseytown Brodge Road crossing), Clinton-Killingworth border.",1.78466026,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9423.00658965364
233,2008,CT5206-00_03,Harbor Brook (Meriden)-03,"From culvert entrance (just US of Fire Station, and US of Mill Street crossing), US to Baldwins Pond outlet dam (just US of Westfield Road crossing), Meriden.",1.47941958,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7811.33543362716
234,2008,CT5207-00_01,Wharton Brook-01,"From mouth at confluence with Quinnipiac River (DS of Route 5 and RailRoad crossing), Wallingford/North Haven town borders, US to Simpson Pond outlet dam (US of Center Street (Route 150) crossing), Wallingford.",3.97402346,1100004,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,20982.8447928067
236,2008,CT5207-02_01,Allen Brook-01,"From mouth at confluence with Wharton Brook (east of Route 5, south of exit 13 on/off ramp, I91), US to Allen Brook Pond outlet dam, Wallingford.",0.05120286,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,270.351109415891
237,2008,CT5207-02_02,Allen Brook-02,"From inlet to Allen Brook Pond (south of exit 13 on/off ramp, I91), Wallingford/North Haven town borders, US to headwaters (under I91, and then parallel along east side, stays to west side of RailRoad track), Wallingford.",1.80112778,1100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,9509.95449617195
239,2008,CT7300-00_02,Norwalk River-02,"From confluence with Bryant Brook (DS of Wolfpit Road crossing), US to Old Mill Road crossing (between Danbury Road (Route 7) and RialRoad tracks southeast of Georgetown), Wilton.",5.6125775,1100006,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,29634.4094569155
240,2008,CT7300-00_03a,Norwalk River-03a,"From Old Mill Road crossing (between Danbury Road (Route 7) and RialRoad track, southeast of Georgetown), Wilton, US to confluence with Georgetown POTW outfall, Redding.",0.84390689,1100006,Not Supporting,Not Supporting,Not Assessed,Water Not Classified For Drinking Supply,4455.82844652641
241,2008,CT5112-00_01,Farm River (East Haven)-01,"From saltwater limit at marsh (just DS of MAin Street Anx. crossing, southwest of Lake Saltonstall outflow), East Haven, US (parallel to lake, around west side) to confluence with Burrs Brook (DS of Route 80 crossing), North Branford.",6.14223124,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,32430.9806664071
242,2008,CT5112-00_02,Farm River (East Haven)-02,"From confluence with Burrs Brook (DS of Route 80 crossing), US to Pages Mill Pond outlet dam, US side of Mill Road crossing, North Branford.",1.2421387,1100004,Not Supporting,Not Supporting,Fully Supporting,Not Supporting,6558.49233803379
244,2008,CT5112-10_01,Burrs Brook-01,"From mouth at confluence with Farm River (just DS of Totoket Road crossing), US to discharge stream from Vic's Pond (on Tomasso property). Brook contributes to drinking water supply, Lake Saltonstall.",1.35040125,1100004,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,7130.11852266963
245,2008,CT5200-00_01,Quinnipiac River-01,"From Sackett Point Road crossing (west of I91, and east of Route 15), North Haven, US to Toelles Road crossing (head of tide), Wallingford/North Haven town border.",5.0499395,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26663.6804276581
246,2008,CT5200-00_02,Quinnipiac River-02,"From Toelles Road crossing (head of tide, just east of Route 15), Wallingford/North Haven town border, US to Hanover Pond outlet dam, Meriden. (Segment includes Community Lake portion)",8.50318566,1100004,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,44896.8199436712
247,2008,CT5200-00_03,Quinnipiac River-03,"From Hanover Pond inlet (at Oregon Road crossing, DS enr of Quinnipiac Gorge), Meriden, US (through Gorge) to Waterworks (breached dam), just DS of Cheshire/Meriden town border (parallel to River Road (Route 70)).",1.29341776,1100004,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,6829.24606619251
248,2008,CT5200-00_04,Quinnipiac River-04,"From Waterworks (breached dam), just DS of Cheshire/Meriden town border (parallel to River Road (Route 70)), US to confluence with Tenmile River (US of Route 322 crossing, and US of Southington WPCF).",4.77727644,1100004,Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,25224.0194443353
