rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days Other,Total Days Total,Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges Title Other,Total Discharges Total,SNF Average Length of Stay Title V,SNF Average Length of Stay Title XVIII,SNF Average Length of Stay Title XIX,SNF Average Length of Stay Total,SNF Admissions Title V,SNF Admissions Title XVIII,SNF Admissions Title XIX,SNF Admissions Other,SNF Admissions Total,SNF Days Title V,SNF Days Title XVIII,SNF Days Title XIX,SNF Days Other,SNF Days Total,SNF Number of Beds,SNF Bed Days Available,SNF Discharges Title V,SNF Discharges Title XVIII,SNF Discharges Title XIX,SNF Discharges Title Other,SNF Discharges Total,NF Number of Beds,NF Bed Days Available,NF Days Title V,NF Days Title XIX,NF Days Other,NF Days Total,NF Discharges Title V,NF Discharges Title XIX,NF Discharges Title Other,NF Discharges Total,NF Average Length of Stay Title V,NF Average Length of Stay Title XIX,NF Average Length of Stay Total,NF Admissions Title V,NF Admissions Title XIX,NF Admissions Other,NF Admissions Total,Total RUG Days,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Total Charges,Total Costs,Wage-related Costs (core),Total Salaries (adjusted),Contract Labor,Cash on hand and in banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for uncollectible notes and accounts receivable,Inventory,Prepaid expenses,Other current assets,Total Current Assets,Land,Land improvements,Buildings,Leasehold improvements,Fixed equipment,Major movable equipment,Minor equipment depreciable,Total fixed Assets,Investments,Other Assets,Total other Assets,Total Assets,Accounts payable,"Salaries, wages, and fees payable",Payroll taxes payable,Notes and Loans Payable (short term),Deferred income,Other current liabilities,Total current liabilities,Mortgage payable,Notes Payable,Unsecured Loans,Other long term liabilities,Total long term liabilities,Total liabilities,General fund balance,Total fund balances,Total Liabilities and fund balances,Total General Inpatient Care Services Revenue,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Less Contractual Allowance and discounts on patients' accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from service to patients,Total Other Income,Total Income,Net Income,Inpatient PPS Amount,Nursing and Allied Health Education Activities,Allowable Bad Debts
1236084,35196,MESA CHRISTIAN HEALTH & REHAB CTR,255 WEST BROWN ROAD,MESA,AZ,85201,MARICOPA,38060.0,U,11/01/2018,12/31/2018,4.0,,421.0,6819.0,692.0,7932.0,191.0,11651.0,,19.0,34.0,36.0,89.0,,22.16,200.56,89.12,,12.0,18.0,48.0,78.0,,421.0,6819.0,692.0,7932.0,191.0,11651.0,,19.0,34.0,36.0,89.0,,,,,,,,,,,,,,,,,,421.0,825663.0,1154426.0,582199.0,256290.0,124792.0,825663.0,,2100.0,,,1530654.0,,46210.0,,,1782049.0,,,9891803.0,11145.0,,17697.0,,9920645.0,,-1000977.0,-975142.0,10727552.0,241549.0,185220.0,,,6961.0,116495.0,550225.0,10250804.0,,,,10250804.0,10801029.0,-73477.0,-73477.0,10727552.0,1703964.0,2286074.0,,2286074.0,379563.0,1906511.0,1980089.0,-73578.0,100.0,-73478.0,-73478.0,235486.0,,
1236085,35225,SUN CITY HEALTH & REHAB CTR,9940 WEST UNION HILLS DRIVE,SUN CITY,AZ,85373,MARICOPA,38060.0,U,11/01/2018,12/31/2018,4.0,,96.0,3072.0,659.0,3827.0,118.0,7198.0,,3.0,17.0,13.0,33.0,,32.0,180.71,115.97,,6.0,13.0,19.0,38.0,,96.0,3072.0,659.0,3827.0,118.0,7198.0,,3.0,17.0,13.0,33.0,,,,,,,,,,,,,,,,,,96.0,442554.0,531384.0,162770.0,156221.0,69670.0,442554.0,,-10300.0,,,679806.0,,28548.0,,,849378.0,,,,62541.0,,17900.0,,80441.0,,-555517.0,-525813.0,404006.0,265283.0,100585.0,,,8413.0,86568.0,460849.0,,,,,,460849.0,-56843.0,-56843.0,404006.0,822805.0,985575.0,,985575.0,68526.0,917049.0,973938.0,-56889.0,47.0,-56842.0,-56842.0,48717.0,,
1236219,105828,WATERS EDGE EXTENDED CARE,1500 SOUTHWEST CAPRI STREET,PALM CITY,FL,34990,MARTIN,38940.0,U,11/20/2018,12/31/2018,4.0,,451.0,355.0,12894.0,13700.0,36.0,13140.0,,17.0,2.0,7.0,26.0,,26.53,177.5,53.69,,17.0,3.0,7.0,27.0,,451.0,355.0,590.0,1396.0,36.0,13140.0,,17.0,2.0,7.0,26.0,,,,,,,,,,,,,,,,,,451.0,853307.0,2144309.0,180497.0,93211.0,182356.0,853307.0,60463.0,5303227.0,,,830785.0,,265964.0,797111.0,,7197087.0,7035036.0,6750.0,51478043.0,,,1571086.0,,59971216.0,,9124889.0,9124889.0,76293192.0,1023947.0,403072.0,,432033.0,,1136847.0,2995899.0,14410000.0,,,39433465.0,53843465.0,56839364.0,19453828.0,19453828.0,76293192.0,1890873.0,2071370.0,,2071370.0,202151.0,1869219.0,2997616.0,-1128397.0,2289233.0,1160836.0,1160836.0,245315.0,,
1236296,225743,BILLERICA HEALTHCARE SOLUTIONS  LLC,194 BOARDMAN STREET,HAVERHILL,MA,01830-6405,ESSEX,15764.0,U,10/01/2018,12/31/2018,5.0,,214.0,3468.0,899.0,4581.0,68.0,6256.0,,3.0,1.0,4.0,8.0,,71.33,3468.0,572.63,,4.0,2.0,10.0,16.0,,214.0,3468.0,899.0,4581.0,68.0,6256.0,,3.0,1.0,4.0,8.0,,,,,,,,,,,,,,,,,,214.0,503112.0,643259.0,186778.0,79880.0,69306.0,503112.0,,313141.0,,,296327.0,,,7584.0,8001.0,625053.0,,,,,,21108.0,,21108.0,,,,646161.0,46326.0,50574.0,4547.0,,,187123.0,288570.0,,,,,447409.0,735979.0,-89818.0,-89818.0,646161.0,1117228.0,1304006.0,,1304006.0,247792.0,1056214.0,1146371.0,-90157.0,338.0,-89819.0,-89819.0,118072.0,,
1236308,245083,PARK HEALTH  A VILLA CENTER,4415 WEST 36 1/2 ST,ST. LOUIS PARK,MN,55416-0000,HENNEPIN,33460.0,U,10/01/2018,12/31/2018,6.0,,170.0,3035.0,335.0,3540.0,70.0,6440.0,,3.0,32.0,6.0,41.0,,56.67,94.84,86.34,,5.0,15.0,6.0,26.0,,170.0,3035.0,335.0,3540.0,70.0,6440.0,,3.0,32.0,6.0,41.0,,,,,,,,,,,,,,,,,,170.0,447889.0,800883.0,273523.0,103466.0,87141.0,447889.0,121228.0,33307.0,,,678346.0,44159.0,,12042.0,76750.0,757923.0,,,,15913.0,,107431.0,,90042.0,,,,847965.0,214029.0,135629.0,,213000.0,,1048626.0,1611284.0,,,,315672.0,315672.0,1926956.0,-1078991.0,-1078991.0,847965.0,930346.0,1203869.0,,1203869.0,174056.0,1029813.0,1248772.0,-218959.0,90.0,-218869.0,-226586.0,79039.0,,19139.0
1236349,365578,NEW LEXINGTON CENTER,920 SOUTH MAIN STREET,NEW LEXINGTON,OH,43764,PERRY,18140.0,U,10/01/2018,12/31/2018,6.0,,453.0,5067.0,1210.0,6730.0,100.0,9200.0,,12.0,11.0,24.0,47.0,,37.75,460.64,143.19,,13.0,7.0,31.0,51.0,,453.0,5067.0,1210.0,6730.0,100.0,9200.0,,12.0,11.0,24.0,47.0,,,,,,,,,,,,,,,,,,453.0,760743.0,942703.0,626373.0,350052.0,111938.0,760743.0,259606.0,9758.0,,,742654.0,96148.0,21067.0,-36656.0,,876805.0,,31716.0,,35766.0,17298.0,21327.0,,101430.0,,-1603567.0,-1603567.0,-625332.0,281973.0,205801.0,,,26053.0,144426.0,658253.0,,,,32053.0,32053.0,690306.0,-1315638.0,-1315638.0,-625332.0,1491735.0,2120201.0,,2120201.0,457739.0,1662462.0,1703446.0,-40984.0,3212.0,-37772.0,-37772.0,232802.0,,9531.0
1236437,235232,THE OASIS OF MONROE REHABILITATION A,1215 NORTH TELEGRAPH ROAD,MONROE,MI,48162-3368,MONROE,33780.0,U,10/01/2018,12/31/2018,4.0,,275.0,5159.0,682.0,6116.0,152.0,13984.0,,8.0,13.0,8.0,29.0,,34.38,396.85,210.9,,3.0,1.0,4.0,8.0,,275.0,5159.0,682.0,6116.0,152.0,13984.0,,8.0,13.0,8.0,29.0,,,,,,,,,,,,,,,,,,275.0,478513.0,1329262.0,95070.0,272399.0,109432.0,478513.0,180623.0,268414.0,,,810563.0,19370.0,,17842.0,59413.0,1133529.0,,,,,,,,,,,18302.0,1151831.0,1301179.0,-23915.0,,,,,1277264.0,,,,,,1277264.0,-125433.0,-125433.0,1151831.0,964160.0,1059230.0,,1059230.0,2102.0,1057128.0,1807775.0,-750647.0,,-750647.0,-776018.0,118979.0,,
1236441,235281,HASTINGS REHABILITATION AND HEALTHCA,240 EAST NORTH STREET,HASTINGS,MI,49058,BARRY,24340.0,U,10/01/2018,12/31/2018,4.0,,232.0,3995.0,1568.0,5795.0,106.0,9752.0,,8.0,8.0,28.0,44.0,,29.0,499.38,131.7,,5.0,4.0,11.0,20.0,,232.0,3995.0,1568.0,5795.0,106.0,9752.0,,8.0,8.0,28.0,44.0,,,,,,,,,,,,,,,,,,232.0,603793.0,1055186.0,45395.0,153665.0,158158.0,603793.0,85669.0,194598.0,,,899935.0,22203.0,,17842.0,57584.0,1154423.0,,,,,,,,,,,46763.0,1201186.0,911783.0,-6926.0,,,,,904857.0,,,,,,904857.0,296329.0,296329.0,1201186.0,1142185.0,1187580.0,,1187580.0,1924.0,1185656.0,1658979.0,-473323.0,,-473323.0,-502432.0,101771.0,,
1236457,235504,THE OASIS OF ADRIAN REHABILITATION A,130 SAND CREEK HIGHWAY,ADRIAN,MI,49221-9129,LENAWEE,99923.0,R,10/01/2018,12/31/2018,4.0,,257.0,2910.0,1662.0,4829.0,114.0,10488.0,,4.0,13.0,9.0,26.0,,64.25,223.85,185.73,,4.0,4.0,11.0,19.0,,257.0,2910.0,1662.0,4829.0,114.0,10488.0,,4.0,13.0,9.0,26.0,,,,,,,,,,,,,,,,,,257.0,562163.0,963588.0,89559.0,189281.0,111280.0,562163.0,128350.0,122697.0,,,661124.0,11126.0,,4867.0,57246.0,831474.0,,,,,,,,,,,28369.0,859843.0,754466.0,-10707.0,,,,,743759.0,,,,,,743759.0,116084.0,116084.0,859843.0,829548.0,919107.0,,919107.0,2703.0,916404.0,1525751.0,-609347.0,,-609347.0,-640385.0,105796.0,,
1236471,245340,GALTIER A VILLA CENTER,445 GALTIER AVE,ST. PAUL,MN,55103,RAMSEY,33460.0,U,10/01/2018,12/31/2018,6.0,,531.0,6939.0,445.0,7915.0,107.0,9844.0,,11.0,130.0,11.0,152.0,,48.27,53.38,52.07,,16.0,30.0,13.0,59.0,,531.0,6939.0,445.0,7915.0,107.0,9844.0,,11.0,130.0,11.0,152.0,,,,,,,,,,,,,,,,,,531.0,1058032.0,1044971.0,553696.0,166953.0,161813.0,1058032.0,126560.0,78015.0,,,1899346.0,83740.0,,19622.0,31250.0,1945792.0,,,,3454.0,,104217.0,,80300.0,,,,2026092.0,190776.0,363860.0,,576600.0,,1077231.0,2208467.0,,,,44904.0,44904.0,2253371.0,-227279.0,-227279.0,2026092.0,1979360.0,2533056.0,,2533056.0,420856.0,2112200.0,2103003.0,9197.0,35649.0,44846.0,44846.0,290063.0,,10726.0
1236472,245417,ROBBINSDALE A VILLA CTR,3130 GRIMES AVE NORTH,ROBBINSDALE,MN,55422,HENNEPIN,33460.0,U,10/01/2018,12/31/2018,6.0,,628.0,4907.0,883.0,6418.0,75.0,6900.0,,23.0,53.0,20.0,96.0,,27.3,92.58,66.85,,23.0,22.0,20.0,65.0,,628.0,4907.0,883.0,6418.0,75.0,6900.0,,23.0,53.0,20.0,96.0,,,,,,,,,,,,,,,,,,628.0,928453.0,1048384.0,579385.0,192023.0,149167.0,928453.0,182164.0,147058.0,,,986093.0,77186.0,,15447.0,750100.0,1845133.0,,,,21767.0,,106859.0,,104984.0,,3868.0,3868.0,1953985.0,184083.0,304282.0,,471600.0,,344690.0,1304655.0,,,,31475.0,31475.0,1336130.0,617855.0,617855.0,1953985.0,1991909.0,2571294.0,,2571294.0,432684.0,2138610.0,1976837.0,161773.0,1523.0,163296.0,163296.0,343490.0,,28901.0
1236511,366038,GREENFIELD SNF  INC.,238 SOUTH WASHINGTON ST,GREENFIELD,OH,45123,HIGHLAND,99936.0,R,12/01/2018,12/31/2018,4.0,,97.0,687.0,389.0,1173.0,50.0,1550.0,,1.0,6.0,7.0,14.0,,97.0,114.5,83.79,,3.0,9.0,6.0,18.0,,97.0,687.0,389.0,1173.0,50.0,1550.0,,1.0,6.0,7.0,14.0,,,,,,,,,,,,,,,,,,97.0,110389.0,162108.0,146107.0,63286.0,10525.0,110389.0,,61387.0,,,233778.0,,,51732.0,,346897.0,,,,,,,,,,,17750.0,364647.0,50744.0,57390.0,1234.0,114904.0,,110738.0,335010.0,,,,,,335010.0,29637.0,29637.0,364647.0,263980.0,410087.0,,410087.0,148659.0,261428.0,272497.0,-11069.0,156.0,-10913.0,-10913.0,102719.0,,
1236708,175332,OTTAWA HEALTHCARE  INC.,110 WEST 15TH STREET,OTTAWA,KS,66067,FRANKLIN,99917.0,R,11/01/2018,12/31/2018,4.0,,470.0,2094.0,4583.0,7147.0,151.0,9211.0,,16.0,3.0,1.0,20.0,,29.38,698.0,202.25,,17.0,8.0,9.0,34.0,,470.0,2094.0,1481.0,4045.0,80.0,4880.0,,16.0,3.0,1.0,20.0,,,,,,,,,,,,,,,,,,470.0,606770.0,623623.0,331523.0,143031.0,89582.0,606770.0,95863.0,909688.0,,,642055.0,14959.0,,4183.0,,1540967.0,,,,,,,,,-1245200.0,,-1245200.0,295767.0,183062.0,144203.0,46013.0,,,26997.0,400275.0,,,,,,400275.0,-104508.0,-104508.0,295767.0,941855.0,1273379.0,,1273379.0,150428.0,1122951.0,1230393.0,-107442.0,2934.0,-104508.0,-104508.0,225730.0,,
1236854,105851,STRATFORD COURT AT BOCA POINTE,6347 VIA DE SONRISA DEL SUR,BOCA RATON,FL,33433,PALM BEACH,48424.0,U,11/01/2018,12/31/2018,4.0,,1387.0,879.0,27930.0,30196.0,527.0,32147.0,,38.0,1.0,32.0,71.0,,36.5,879.0,62.19,,50.0,2.0,,52.0,,1387.0,879.0,346.0,2612.0,60.0,3660.0,,38.0,1.0,3.0,42.0,,,,,,,,,,,,,,,,,,1387.0,1569933.0,3156092.0,838944.0,425207.0,238859.0,1569933.0,,-12239.0,,,339043.0,11649.0,3250.0,129070.0,882352.0,1329827.0,,,,211217.0,,192232.0,,622451.0,,-10679.0,-10679.0,1941599.0,-369196.0,113386.0,,,13375.0,2348781.0,2106346.0,,,,-4263.0,-4263.0,2102083.0,-160484.0,-160484.0,1941599.0,4104472.0,4943416.0,,4943416.0,433190.0,4510226.0,4726025.0,-215799.0,55315.0,-160484.0,-160484.0,774398.0,,9380.0
1237368,145045,NAPERVILLE MANOR HEALTH AND REHAB CE,200 MARTIN,NAPERVILLE,IL,60540,DUPAGE,16974.0,U,11/01/2018,12/31/2018,6.0,,189.0,3720.0,516.0,4425.0,118.0,7198.0,,6.0,30.0,24.0,60.0,,31.5,124.0,73.75,,29.0,16.0,16.0,61.0,,189.0,3720.0,516.0,4425.0,118.0,7198.0,,6.0,30.0,24.0,60.0,,,,,,,,,,,,,,,,,,189.0,851460.0,711925.0,500525.0,365291.0,180763.0,851460.0,,209699.0,,,1107034.0,25370.0,,461313.0,34694.0,1787370.0,,,,,,,,,,,,1787370.0,921391.0,351024.0,18560.0,,,285233.0,1576208.0,,570452.0,,,570452.0,2146660.0,-359290.0,-359290.0,1787370.0,858605.0,1359130.0,,1359130.0,156395.0,1202735.0,1563385.0,-360650.0,1360.0,-359290.0,-359290.0,362575.0,,
1237421,215188,OASIS NURSING & REHAB  LLC,85 HOSPITAL ROAD,PRINCE FREDERICK,MD,20678,CALVERT,47894.0,U,10/01/2018,12/31/2018,5.0,,1593.0,,9007.0,10600.0,149.0,13708.0,,83.0,,14.0,97.0,,19.19,,109.28,,83.0,,14.0,97.0,,1593.0,,9007.0,10600.0,149.0,13708.0,,83.0,,14.0,97.0,,,,,,,,,,,,,,,,,,1593.0,1536447.0,1635514.0,71283.0,343426.0,223604.0,1536447.0,,329601.0,2599425.0,,,,,42996.0,,2972022.0,,,,,43591.0,,,155841.0,,,,3127863.0,590719.0,931209.0,,,,965125.0,2487053.0,,600000.0,,,600000.0,3087053.0,40810.0,40810.0,3127863.0,3141350.0,3212771.0,,3212771.0,,3212771.0,3171961.0,40810.0,,40810.0,40810.0,789821.0,,
1237422,215246,BEDFORD COURT HEALTHCARE CENTER,1701 INTERNATIONAL AVE,SILVER SPRING,MD,20906,MONTGOMERY,43524.0,U,10/01/2018,12/31/2018,4.0,,1510.0,1660.0,27377.0,30547.0,354.0,32568.0,,50.0,5.0,36.0,91.0,,30.2,332.0,64.25,,50.0,4.0,5.0,59.0,,1510.0,1660.0,878.0,4048.0,60.0,5520.0,,50.0,5.0,8.0,63.0,,,,,,,,,,,,,,,,,,1510.0,1972446.0,3453576.0,961231.0,471194.0,250732.0,1972446.0,17510.0,-7224.0,,,313139.0,30935.0,2724.0,-101143.0,2242150.0,2418711.0,,8684.0,,58057.0,,24707.0,,255512.0,,24498.0,24498.0,2698721.0,-68545.0,178947.0,,,,2383445.0,2493847.0,,27348.0,,1062.0,28410.0,2522257.0,176464.0,176464.0,2698721.0,5413235.0,6374360.0,,6374360.0,858107.0,5516253.0,5426022.0,90231.0,86233.0,176464.0,176464.0,841340.0,,
