Project No,Project Name,Status,Public Description, Total Forecast Cost 
41328,OMES Office 365,Execution,"Office Management Enterprise Services - The project is deployment of Email, User files, Outlook Client, and Department Drives to a cloud based Microsoft solution. The scope of this project includes OMES and all state agencies that are already consolidated or listed on consolidate for FY 2015 and FY 2016. ","$10,761,789.00"
48244,Auditing and Compliance Tool,Execution,Auditing and Compliance Tool,"$293,864.00"
90318,FY 18 PC Refresh,Develop High Level Business Case,Office Management Enterprise Services - This project will manage all FY18 PC replacement deployments through state agencies.,"$100,800.00"
59300,Enterprise Videoconferencing Phase II,Execution,"Improve agency communication, collaboration and cost saving by utilizing virtual methods for court hearings, simultaneous trainings, meetings, family visitations and case staffing.","$577,244.00"
49060,DHS CSS Interactive Electronic Documents Portal,Execution,Oklahoma Department of Human Services - Child Support Services is looking for a solution that will allow them to conduct business electronically with all registered employers and insurance providers.,"$144,600.00"
49802,DDS CCM Data Interfaces Migration,Execution,"The Oklahoma Department of Human Services- Developmental Disabilities Services Division in an effort to improve the levels of service  to customers will be  integrating systems for Eligibility, Plan of Care, Level of Care and Authorizations with existing Office of Management and Enterprise Services and Oklahoma Health Care Authority systems.","$721,831.00"
39557,CareerTech Big Data System (CTIMS),Execution,Oklahoma Career Technology Education - This is a project is to transition support and maintenance of the current CareerTech Big Data System to the Office of Management and Enterprise Services Application Development team.,"$3,910,407.00"
89505,Online Professional Development System,Develop High Level Business Case,"The Oklahoma State Department of Education is looking to purchase, install and populate an online professional development platform.","$328,928.00"
66707,Licensing Application Planning,Execution,"The Office of Management and Enterprise Services (OMES) is seeking a web-based solution, preferably on a cloud based platform, that allows state agencies to manage application intake, review, inspection, investigation, permits status, and compliance activities related to issuing various types of licenses affiliated with each state agency’s mission.","$301,000.00"
82157,OST Webseries 5.0 system upgrade,High Level Business Case Ready for Approval,Oklahoma State Treasurer - Migrate the State Treasurer's paper warrant generation and printing functions from the very old WebSeries version 5.0 to a newer and supported version.,"$283,128.00"
66603,Microsoft 2003 Server Enterprise Modernization,Execution,Office of Management and Enterprise Services - An engagement with Microsoft to lead the State of Oklahoma through modernization activities such as Discovery and Rationalization and Workload Migration Workstream for 150 servers.,"$1,221,980.00"
56085,Empower HR,Execution,Office of Management Enterprise Services – Human Capital Management Oracle Cloud Application Services Implementation,"$5,175,484.00"
